"lang"
{
	"Language"		"greek"
		"LoadoutSlot_LegionCommander_Banners"				"Λάβαρα"
		"LoadoutSlot_LoneDruid_TrueForm"					"Αληθινή μορφή"
		"LoadoutSlot_LoneDruid_SpiritBear"					"Αρκούδα"
		"LoadoutSlot_NaturesProphet_Treants"				"Δέντρα"
		"LoadoutSlot_Pugna_NetherWard"						"Αιθέριο τοτέμ"
		"LoadoutSlot_ShadowShaman_SerpentWards"				"Φίδια"
		"LoadoutSlot_Techies_Cart"							"Καροτσάκι"
		"LoadoutSlot_Techies_Bazooka"						"Μπαζούκα"
		"LoadoutSlot_Techies_Squee"							"Squee"
		"LoadoutSlot_Techies_Spoon"							"Spoon"
		"LoadoutSlot_Techies_Spleen"						"Spleen"
		"LoadoutSlot_Techies_RemoteMines"					"Απομ. νάρκες"
		"LoadoutSlot_TerrorBlade_Demon"						"Δαίμονας"
		"LoadoutSlot_TrollWarlord_OffHand_Weapon_Melee"		"Εναλλακτικό αγχέμαχο όπλο"
		"LoadoutSlot_TrollWarlord_Weapon_Melee"				"Αγχέμαχο όπλο"
		"LoadoutSlot_Tusk_Tusks"							"Χαυλιόδοντες"
		"LoadoutSlot_Tusk_Fist"								"Γροθιά"
		"LoadoutSlot_Tusk_FrozenSigil"						"Παγωμένο σύμβολο"
		"LoadoutSlot_Undying_Tombstone"						"Ταφόπλακα"
		"LoadoutSlot_Undying_Flesh_Golem"					"Γκόλεμ"
		"LoadoutSlot_Venomancer_StingerLimbs"				"Άκρα με κεντρί"
		"LoadoutSlot_Venomancer_PlagueWard"					"Δηλητηριώδη φυτά"
		"LoadoutSlot_Warlock_Golem"							"Γκόλεμ"
		"LoadoutSlot_Warlock_Lantern"						"Φανάρι"
		"LoadoutSlot_Warlock_EvilPurse"						"Δαιμονικό πορτοφόλι"
		"LoadoutSlot_Weaver_Antennae"						"Κεραίες"
		"LoadoutSlot_WitchDoctor_DeathWard"					"Death Ward"
		"LoadoutSlot_Techies_Sign"							"Πινακίδα"
		"LoadoutSlot_Jakiro_Head_Left"						"Αριστερό κεφάλι"
		"LoadoutSlot_Jakiro_Head_Right"						"Δεξί κεφάλι"
	

		// Item Editor // Workshop Tools

		"DOTA_Workshop_AmbientLight"							"Φως περιβάλλοντος"
		"DOTA_Workshop_AmbientLightScale"						"Φωτεινότητα φωτός περιβάλλοντος"
		"DOTA_Workshop_Automate"								"Αυτόματη μετάβαση σε ολοκλήρωση"
		"DOTA_Workshop_CloneCamera"								"Κλωνοποίηση προβολής κάμερας"
		"DOTA_Workshop_Copy"								    "Αντιγραφή"
		"DOTA_Workshop_PasteAll"								"Επικόλληση όλων"
		"DOTA_Workshop_PasteVisuals"							"Επικόλληση οπτικών"
		"DOTA_Workshop_BackgroundColor"                         "Χρώμα φόντου"
		"DOTA_Workshop_BackgroundTexture"                       "Υφή φόντου"
		"DOTA_Workshop_Camera"                                  "Κάμερα"
		"DOTA_Workshop_CameraRoll"                              "Κύλιση κάμερας"
		"DOTA_Workshop_CameraFOV"                               "Πεδίο όρασης κάμερας"
		"DOTA_Workshop_CameraFarZ"                              "FarZ κάμερας"
		"DOTA_Workshop_EditAngles"                              "Επεξεργασία γωνιών"
		"DOTA_Workshop_EditAttachments"                         "Επεξεργασία επισυνάψεων"
		"DOTA_Workshop_EditGeneric"                             "Προεπισκόπηση μοντέλου"
		"DOTA_Workshop_EditOrigin"                              "Επεξεργασία προέλευσης"
		"DOTA_Workshop_EditTarget"                              "Επεξεργασία στόχου"
		"DOTA_Workshop_EditPortrait"                            "Επεξεργασία πορτρέτου"
		"DOTA_Workshop_GameDay"                                 "Ημέρα"
		"DOTA_Workshop_GameNight"                               "Νύχτα"
		"DOTA_Workshop_ImportError"                             "Σφάλμα εισαγωγής"
		"DOTA_Workshop_ImportLog"                               "Εισαγωγή αρχείου καταγραφής"
		"DOTA_Workshop_ImagePreview"                            "Προεπισκόπηση εικόνας"
		"DOTA_Workshop_Next"                                    "Επόμενο"
		"DOTA_Workshop_ValveSelectItemID"                       "Επιλογή ID αντικειμένου"
		"DOTA_Workshop_PickType"                                "Επιλογή τύπου"
		"DOTA_Workshop_Portrait"                                "Πορτρέτο"
		"DOTA_Workshop_Prev"                                    "Προηγούμενο"
		"DOTA_Workshop_Preview"                                 "Προεπισκόπηση"
		"DOTA_Workshop_PreviewInGame"                           "Προεπισκόπηση στο παιχνίδι"
		"DOTA_Workshop_SelectInputs"                            "Επιλογή εισόδων"
		"DOTA_Workshop_SelectWearables"                         "Επιλογή φορετών"
		"DOTA_Workshop_ShadowColor"                             "Χρώμα σκιών"
		"DOTA_Workshop_EntityShadowScale"                       "Κλίμακα σκιών"
		"DOTA_Workshop_ShowLowResModel"                         "Εμφάνιση μοντέλου χαμηλής ανάλυσης"
		"DOTA_Workshop_ShowPedestal"                            "Εμφάνιση βάθρου"
		"DOTA_Workshop_ShowReferenceModel"                      "Εμφάνιση μοντέλου αναφοράς"
		"DOTA_Workshop_ShowParticles"							"Εμφάνιση σωματιδίων"
		"DOTA_Workshop_ShowDefaultParticles"					"Εμφάνιση βασικών σωματιδίων"
		"DOTA_Workshop_SpotLight"                               "Φως προβολέα"
		"DOTA_Workshop_SpotlightDistance"                       "Απόσταση προβολέα"
		"DOTA_Workshop_SpotlightSize"                           "Μέγεθος προβολέα"
		"DOTA_Workshop_SpotLightScale"                          "Φωτεινότητα προβολέα"
		"DOTA_Workshop_Submit"                                  "Καταχώρηση"
		"DOTA_Workshop_Texture"                                 "Υφή"
		"DOTA_Workshop_TurnTable"                               "Περιστρεφόμενη βάση"
		"DOTA_Workshop_WorkshopImportDialog"                    "Παράθυρο εισαγωγής εργαστηρίου"
		"DOTA_Workshop_Reset_To_Default"						"Επαναφορά σε προεπιλογή"
		"DOTA_Workshop_PreviewStyle"							"Στυλ"

		"DOTA_Workshop_SubmitNew"								"Καταχώρηση"
		"DOTA_Workshop_SubmitUpdate"							"Καταχώρηση ενημέρωσης"

		"DOTA_Workshop_SelectImportType"						"Τι δημοσιεύετε;"
		"DOTA_Workshop_SelectImportType_Desc"					"Παρακαλούμε επιλέξτε τον τύπο εισαγωγής σας από τις παρακάτω επιλογές."
		"DOTA_Workshop_SelectHero"								"Επιλογή ήρωα"
		"DOTA_Workshop_SelectSlot"								"Επιλογή υποδοχής"
		"DOTA_Workshop_Select"									"Επιλογή"
		"DOTA_Workshop_NoSlots"									"Δεν υπάρχουν διαθέσιμες θέσεις"
		"DOTA_Workshop_SelectHeroWearable"						"Φορετό αντικείμενο"
		"DOTA_Workshop_SelectSubGroup"							"Επιλογή ομάδας %1"
		"DOTA_Workshop_SelectTemplate"							"Επιλογή πρότυπου %1"
		"DOTA_Workshop_NoTemplates"								"Χωρίς πρότυπα"

	}
}
