"lang"
{
	"Language"		"bulgarian"
		"DOTA_Workshop_Prev"                                    "Предишно"
		"DOTA_Workshop_Preview"                                 "Преглед"
		"DOTA_Workshop_PreviewInGame"                           "Преглед в играта"
		"DOTA_Workshop_SelectInputs"                            "Избиране на входни"
		"DOTA_Workshop_SelectWearables"                         "Избиране на носими"
		"DOTA_Workshop_ShadowColor"                             "Цвят на сянката"
		"DOTA_Workshop_EntityShadowScale"                       "Мащаб на сянката"
		"DOTA_Workshop_ShowLowResModel"                         "Показване на нискокачествения модел"
		"DOTA_Workshop_ShowPedestal"                            "Показване на пиедестал"
		"DOTA_Workshop_ShowReferenceModel"                      "Показване на референтен модел"
		"DOTA_Workshop_ShowParticles"							"Показване на частиците"
		"DOTA_Workshop_ShowDefaultParticles"					"Показване на базовите частици"
		"DOTA_Workshop_SpotLight"                               "Прожектор"
		"DOTA_Workshop_SpotlightDistance"                       "Разстояние на прожектора"
		"DOTA_Workshop_SpotlightSize"                           "Размер на прожектора"
		"DOTA_Workshop_SpotLightScale"                          "Яркост на прожектора"
		"DOTA_Workshop_Submit"                                  "Подаване"
		"DOTA_Workshop_Texture"                                 "Текстура"
		"DOTA_Workshop_TurnTable"                               "Обръщателна платформа"
		"DOTA_Workshop_WorkshopImportDialog"                    "Диалогов прозорец за внасяне в работилницата"
		"DOTA_Workshop_Reset_To_Default"						"Нулиране по подразбиране"
		"DOTA_Workshop_PreviewStyle"							"Стил"

		"DOTA_Workshop_SubmitNew"								"Подаване"
		"DOTA_Workshop_SubmitUpdate"							"Подаване на обновление"

		"DOTA_Workshop_SelectImportType"						"Какво публикувате?"
		"DOTA_Workshop_SelectImportType_Desc"					"Моля, изберете типа на внасяното от опциите по-долу."
		"DOTA_Workshop_SelectHero"								"Избор на герой"
		"DOTA_Workshop_SelectSlot"								"Избиране на слот"
		"DOTA_Workshop_Select"									"Избиране"
		"DOTA_Workshop_NoSlots"									"Няма достъпни слотове"
		"DOTA_Workshop_SelectHeroWearable"						"Артикул за носене"
		"DOTA_Workshop_SelectSubGroup"							"Избиране на група %1"
		"DOTA_Workshop_SelectTemplate"							"Избиране на шаблон %1"
		"DOTA_Workshop_NoTemplates"								"Няма шаблони"

	}
}
