"lang"
{ 
	"Language" "dutch" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatische aanval"
		"dac_ability_keeper_of_the_light_illuminate"							"Verlichting"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"De Hoeder van het licht stuurt energie die met toenemende duur krachtiger wordt. Eenmaal losgelaten breidt dit zich als een golf naar voren uit die per opgeladen seconde {s:damage_per_second} schade aanricht."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"De Hoeder is krachtiger dan hij laat blijken. Als we niet oppassen zal hij het einde zijn van ons allemaal. – <i>Turath, vernietiger van het licht</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Verstenende blik"
		"dac_ability_medusa_stone_gaze_Description"								"De bewegings- en aanvalssnelheid van vijandelijke eenheden in een straal van {s:radius} cellen rond Medusa worden met {s:slow}% verlaagd wanneer zij in haar richting kijken.<br><br>Eenheden die in totaal {s:face_duration} seconden naar Medusa hebben gekeken veranderen in steen.<br><br>Versteende eenheden zijn verlamd en ontvangen {s:bonus_physical_damage}% bonusschade van fysieke aanvallen."
		"dac_ability_medusa_stone_gaze_Lore"									"Ze is precies mijn type, maar ik heb alleen oog voor Mireska. – <i>Hobgen, verliefde crimineel</i>"

		"dac_ability_medusa_split_shot"											"Gespleten schot"
		"dac_ability_medusa_split_shot_Description"								"PASSIEF: Medusa schiet op magische wijze {s:extra_shots} extra pijlen, waardoor ze extra doelwitten in een straal van {s:range} cellen rond haar primaire doelwit raakt. De extra pijlen richten {s:damage_modifier} procent van de schade van haar primaire pijl aan."
		"dac_ability_medusa_split_shot_Lore"									"Heb je die vrouw boog zien schieten? Nou ja, je leeft nog, dus waarschijnlijk niet... – <i>Grek hemelt zijn nieuwste aanwinst op</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"IJver"
		"dac_ability_troll_warlord_fervor_Description"							"PASSIEF: Met elke aanval op hetzelfde doelwit verhoogt de Trollenkrijgsheer zijn aanvalssnelheid met {s:attack_speed}%.<br><br>Zodra hij van doelwit wisselt gaat de bonus verloren.<br><br>Dit effect versterkt zichzelf maximaal {s:max_stacks} keer."
		"dac_ability_troll_warlord_fervor_Lore"									"Efficiënt en meedogenloos. Net als ik. – <i>Quiet verspilt geen moeite</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Demonische Zuivering"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Het doelwit wordt meerdere malen gezuiverd, wat positieve effecten verwijdert en de bewegings- en aanvalssnelheid {s:duration} seconden lang vertraagt. De eenheid komt langzaamaan weer op volle snelheid tot de Zuivering afloopt en ontvangt dan {s:damage} schade."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Nu moet je eens goed luisteren, harige schoft. Ik weet dat je denkt dat je met Anessix samen kunt werken, maar heb je gezien in welk gezelschap zij verkeert? – <i>Hobgen, geen fan van demonen (of Enno)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Grote splijting"
		"dac_ability_sven_cleave_Description"									"PASSIEF: De melee-aanvallen van deze eenheid brengen {s:cleave_damage_pct}% toe aan nabije vijanden."
		"dac_ability_sven_cleave_Lore"											"Heb je een Ridder van de Wake ooit zijn ding zien doen? Prachtig. – <i>Grek, gevechtsliefhebber</i>"

		"dac_ability_sven_gods_strength"										"Godenkracht"
		"dac_ability_sven_gods_strength_Description"							"Sven wordt woest en richt {s:duration} seconden lang {s:bonus_damage_from_cast}% meer schade aan."
		"dac_ability_sven_gods_strength_Lore"									"Niets liever dan een man die op wraak uit is. – <i>Anessix neemt Sven op</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Werveldood"
		"dac_ability_timbersaw_whirling_death_Description"						"De scherpe randen van de wapenrusting van de Woudveller draaien in het rond, waardoor vijanden in een straal van {s:radius} cellen {s:damage} schade ontvangen."
		"dac_ability_timbersaw_whirling_death_Lore"								"Ik dacht al dat Enno zijn bosvriendjes bijeen zou roepen, dus ik heb er zelf ook een paar gemobiliseerd. – <i>Hobgen lost problemen op</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"Walrus-KNAL!"
		"dac_ability_tusk_walrus_punch_Description"								"De Slagtand raakt het doelwit met zijn machtige Walrus-knal, een kritieke treffer die {s:critical_damage}% schade aanricht en het slachtoffer {s:air_time} seconde de lucht in lanceert. Na de landing wordt het slachtoffer {s:slow_duration} seconden met {s:move_slow}% vertraagd. Tijdens zijn aanval kan de Slagtand niet worden gedood."
		"dac_ability_tusk_walrus_punch_Lore"									"Hij was mijn vriend. We zien gauw genoeg of hij hier is om me te helpen of om me een klap te verkopen. – <i>Jull denkt terug aan zijn jeugd</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Duister schild"
		"dac_ability_abaddon_aphotic_shield_Description"						"Abaddon beschermt een bevriende eenheid met een schild dat gedurende {s:duration} seconden in totaal {s:damage_absorb} schade absorbeert.<br><br>Als het schild wordt vernietigd, knalt het uit elkaar en richt het {s:damage_absorb} schade aan aan vijanden in een straal van {s:radius} cellen.<br><br>Verwijdert verscheidene soorten negatieve effecten en verlammingen bij gebruik."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Ik heb veel respect voor het Huis van Avernus. – <i>O'nia tracht een wit voetje te halen</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Metamorfose"
		"dac_ability_terrorblade_metamorph_Description"							"IJzing verandert in een krachtige demon die afstandsaanvallen op een afstand van {s:bonus_attack_range} cellen aanricht en zijn schade en aanvalssnelheid met {s:bonus_attack_damage} en {s:bonus_attack_speed} verhoogt. Wanneer deze vaardigheid wordt gebruikt, wisselt IJzing tevens zijn gezondheid met die van een andere bondgenoot."
		"dac_ability_terrorblade_metamorph_Lore"								"Wanneer je die met Anessix ziet praten, weet je dat er iets slechts staat te gebeuren. – <i>Jull houdt een oogje in het zeil</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Afstandsmijnen"
		"dac_ability_techies_bomb_Description"									"De gang plaatst een explosief dat na {s:explode_time} seconden ontploft en {s:damage} schade aan doelwitten in een straal van {s:range} cellen aanricht.<br><br>Richt de helft van de schade aan aan vijanden die zich op de helft van de maximale afstand bevinden."
		"dac_ability_techies_bomb_Lore"											"Zeg wat je wilt over de Keen, maar ze zorgen altijd voor een lach op mijn gezicht. – <i>Hobgen bekijkt de nasleep van een sloop</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Statische storm"
		"dac_ability_disruptor_static_storm_Description"						"Disruptor veroorzaakt een verwoestende statische storm, die alle vijandelijke eenheden in een straal van {s:radius} cellen rond het centrum {s:duration} seconden het zwijgen oplegt.<br><br>De schade begint zwak, maar wordt na verloop van tijd steeds krachtiger. In totaal richt de storm {s:damage_total} schade aan."
		"dac_ability_disruptor_static_storm_Lore"								"Ik weet niet zeker of hij hier is om mij te helpen of dat hij de Aks in de gaten wil houden. – <i>Wren, leider van een losbandige bende</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Zuivering"
		"dac_ability_omniknight_purification_Description"						"De Alwetende ridder geneest een bevriende eenheid {s:heal} en richt schade aan aan alle vijandelijke eenheden in een straal van {s:radius} cel."
		"dac_ability_omniknight_purification_Lore"								"Hij gebruikt zijn geloof als een wapen... net als ik. – <i>Turath, redder met waanvoorstellingen</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Vleeshaak"
		"dac_ability_pudge_meathook_Description"								"Pudge werpt een bloederige haak richting zijn verste vijand, waarna hij het slachtoffer naar zich toe sleurt en {s:damage} schade aanricht.<br><br>Pudge en zijn bondgenoten in een straal van 1 cel vallen het slachtoffer vervolgens aan totdat deze doodgaat."
		"dac_ability_pudge_meathook_Lore"										"Pudge? Ja, goeie gast. Zegt altijd gedag wanneer ik de lijken aan het looien ben. – <i>Carl, ondode kleermaker</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Schaduwspraak"
		"dac_ability_warlock_shadow_word_Description"							"De Heksenmeester fluistert een bezwering die direct {s:burst_tooltip} gezondheid van een bevriende eenheid en daarna {s:duration} seconden lang {s:hot_tooltip} per seconde herstelt, of {s:duration} seconden lang elke seconde {s:damage_tick} schade bij een vijandelijke eenheid aanricht."
		"dac_ability_warlock_shadow_word_Lore"									"Sommige geheimen moeten geheim blijven... Ik zal het Demnok nog wel betaald zetten voor zijn gebrek aan discretie. – <i>Anessix, wachtend op het juiste moment</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Bloedrazernij"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIEF: Elke seconde ontvangt de Bloeddorstige schade die gelijkstaat aan {s:self_dmg_pct}% van zijn maximale gezondheid.<br><br>Naarmate hij gezondheid verliest, krijgt hij aanvalssnelheid, tot maximaal {s:attack_speed_bonus_max} op {s:min_health_pct}% van zijn gezondheid.<br><br>Wanneer hij een vijand doodt, krijgt hij {s:heal_pct}% van zijn gezondheid terug."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Als ik gedurende mijn loopbaan iets heb geleerd, is het dat men van bloed houdt. Huur deze vent in.  – <i>Grek, stellige promotor</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Stormkopie"
		"dac_ability_arc_warden_tempest_double_Description"						"De Plasmawachter maakt een kopie van zichzelf met dezelfde gezondheid die hij op dat moment heeft.<br><br>De dubbelganger kan alle huidige voorwerpen van de Plasmawachter gebruiken en zal dezelfde vijand proberen aan te vallen. Een kloon kan geen kloon maken en richt {s:clone_dmg_reduction}% minder schade aan."
		"dac_ability_arc_warden_tempest_double_Lore"							"Met hem arriveren de mysteries van de schepping. – <i>Turath, cryptische profeet</i>"
		
		//MIRANA
		"dac_ability_mirana_arrow"												"Heilige pijl"
		"dac_ability_mirana_arrow_Description"									"Mirana vuurt een pijl met dodelijke precisie af, die haar doelwit {s:duration} seconden verlamt en {s:damage} schade aanricht."
		"dac_ability_mirana_arrow_Lore"											"Vertrouw nooit op een fanatiekeling, Wren. Het is het niet waard. – <i>Jull geeft welgemeend advies</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Essentieroof"
		"dac_ability_slark_essence_shift_description"							"PASSIEF: Aanvallen van Slark verlagen de schade en aanvalssnelheid van zijn doelwit met {s:stolen_dmg}.<br><br>De schade van Slark neemt toe met {s:stolen_dmg} en zijn aanvalssnelheid met {s:stolen_aspd}."
		"dac_ability_slark_essence_shift_lore"									"Slark is essentieel om ons product het Duistere Rif in en uit te smokkelen. – <i>Jull, opgeklommen man</i>"

		"dac_ability_slark_pounce"												"Sprong"
		"dac_ability_slark_pounce_description"									"PASSIEF: Wanneer Slark na een sprong landt, ontwapent hij zijn doelwit {s:disarm_duration} seconden."
		"dac_ability_slark_pounce_lore"											"Hoe heeft hij ons ook alweer weten te verrassen!? – <i>Hobgen, vurig temperament</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Gebiedsaanval"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIEF: De afstandsaanvallen van de zwarte draak richten schade aan in een straal van 1 cel rond zijn doelwit."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Grote splijting"
		"dac_ability_sven_great_cleave_description"								"PASSIEF: De melee-aanvallen van deze eenheid richten splijtschade aan aan nabije vijanden."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Spreukimmuniteit"
		"dac_ability_roshan_spell_immune_description"							"ACTIEF: Roshan wordt {s:duration} seconden immuun voor spreuken."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Verstrikkende klauwen"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"De aanvallen van de geestesbeer hebben een kans om het doelwit te verstrikken en daarbij te verlammen."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Bloedlust"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Het wezen zet een bevriende eenheid aan tot razernij, waardoor zijn bewegings- en aanvalssnelheid met {s:bonus_movement_speed}% en {s:bonus_attack_speed}% toenemen. Wanneer het zichzelf betovert, is de aanvalssnelheidsbonus {s:self_bonus}%."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Genezingsaura"
		"dac_ability_healing_ward_healing_aura_description"								"Geneest bevriende eenheden in een straal van {s:heal_range} cel met {s:health_regen} gezondheid per seconde."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Zombies opwekken"
		"dac_ability_tombstone_raise_zombies_description"							"Eenheden die in een straal van {s:range} cel doodgaan veranderen in een zombie."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Barricade"
		"dac_ability_barricade_aura_description"							"Beschermt nabije eenheden en is immuun voor spreuken."
		"dac_ability_barricade_aura_lore"									""

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Bespotting"
		"dac_ability_target_dummy_taunt_description"							"Het oefenmaatje bespot vijanden."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Sintelmuur"
		"dac_ability_cinderwall_aura_description"							"Beschermt nabije eenheden en is immuun voor spreuken. Steekt nabije eenheden in brand."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Chronokubus"
		"dac_ability_faceless_void_chronocube_description"							"Creëert een scheur in de ruimtetijd en verlamt {s:stun_duration} seconden lang alle eenheden die zich binnen een straal van {s:radius} cellen van het midden van de kubus bevinden. De Gezichtsloze kan zich in de kubus erg snel bewegen en ontvangt terwijl hij in de kubus is {s:bonus_attack_speed} extra aanvalssnelheid. Enkel de Gezichtsloze wordt niet verlamd. Bij gebruik probeert de Gezichtsloze alle bevriende sluipmoordenaars uit de kubus te teleporteren."
		"dac_ability_faceless_void_chronocube_lore"									"Claszureme gaat zich hiermee bemoeien. Dit kan een probleem worden. – <i>Jull realiseert zich dat hij de tijd niet kan slaan</i>"

		"dac_ability_faceless_void_time_walk"										"Tijdsprong"
		"dac_ability_faceless_void_time_walk_description"							"PASSIEF: De Gezichtsloze snelt naar zijn volgende doelwit en geneest van alle schade die hij tijdens de laatste 2 seconden opliep."
		"dac_ability_faceless_void_time_walk_lore"									"Kom op, ik zou die verdomde zandlopers nooit aanraken. Denk je dat ik wil dat Pierpont hier komt rondneuzen? – <i>Hobgen, verstandige maniak</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Duel"
		"dac_ability_legion_commander_duel_description"								"De Legioenscommandant valt de vijand aan met de laagste gezondheid 1 cel verderop, waardoor die {s:stun_duration} seconden lang wordt gedwongen om te vechten. Als een van de helden tijdens het Duel doodgaat, krijgt de overwinnaar {s:winner_bonus_damage} permanente bonusschade."
		"dac_ability_legion_commander_duel_lore"									"Tresdin, je hoeft zo'n houding niet aan te nemen... Ik kan je helpen Rix te vinden. – <i>Anessix is kalm onder druk</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Wil van de stierslang"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>ONTGRENDELD DOOR DE DRAKENALLIANTIE</i><br>PASSIEF: Wanneer de Legioenscommandant een duel wint, geneest ze direct met {s:heal_percentage}% van haar maximale gezondheid."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Ik ken uw soort, commandant, en u bent een van de gevaarlijkste wezens ooit. Een gelover. – <i>Wren, wereldstudent</i>"

		"dac_ability_legion_commander_element"										"Elementaire lading"
		"dac_ability_legion_commander_element_description"							"PASSIEF: Wanneer de Legioenscommandant als onderdeel van de geestenalliantie een deltaslag uitvoert, richt ze dubbele schade aan."
		"dac_ability_legion_commander_element_lore"									"De meeste soldaten worden achtervolgd door geesten... Zij voert ze aan. – <i>Jull herkent een lege blik vol trauma's wanneer hij er een ziet</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Stekelpantser"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"De Discipel van Nyx laat stekels uit zijn pantser tevoorschijn komen, waardoor {s:damage_taken_reflect_percentage}% van de aangerichte schade teniet wordt gedaan en wordt gereflecteerd (max. één keer per bron). De bron van de schade wordt {s:stun_duration} seconden verlamd."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Het juiste woord is geleedpotige. – <i>Quiet heeft oog voor detail</i>"

		"dac_ability_nyx_assassin_vendetta"											"Vendetta"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIEF: Nadat de Discipel van Nyx naar een eenheid teleporteert, richt hij {s:bonus_damage} bonusschade aan bij zijn volgende aanval en schakelt hij alle passieve effecten van zijn vijand {s:break_duration} seconden uit met break."
		"dac_ability_nyx_assassin_vendetta_lore"									"Insect. Geleedpotige. Wat boeit het. Het gaat erom dat hij nu iemand moet doden... Kun jij het regelen, of niet? – <i>O'nia, geen fan van betweters</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Shukuchi"
		"dac_ability_weaver_shukuchi_description"									"De Wever wordt onzichtbaar en ongrijpbaar, en beweegt zich snel door een eenheid tot op een afstand van {s:distance_cells} cellen. De Wever richt {s:damage} schade aan aan alle vijanden waar hij zich doorheen beweegt."
		"dac_ability_weaver_shukuchi_lore"											"Wever. Samen maken wij de wereld opnieuw. – <i>Turath is gek genoeg om het te doen</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Jonge spinnen oproepen"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Broedmoeder injecteert haar kroost in een vijandige eenheid, wat deze {s:damage} toebrengt. Als het doelwit sterft, worden er {s:num_spiderlings} spinnetjes uitgebroed. Deze spinnetjes kunnen niet als doelwit worden gekozen, richten weinig schade aan en hebben 1 gezondheid."
		"dac_ability_broodmother_spawn_spiderlings_lore"							""

		"dac_ability_broodmother_spin_web"											"Spinnenweb"
		"dac_ability_broodmother_spin_web_description"								"Broedmoeder spint een web van {s:radius} cellen breed over een vijandige eenheid. Vijanden in het web verliezen {s:debuff_attack_speed} aanvalssnelheid, {s:debuff_speed}% bewegingssnelheid en {s:debuff_casting_speed}% snelheid waarmee spreuken kunnen worden uitgesproken."
		"dac_ability_broodmother_spin_web_lore"										"Ik kan je kindjes vast niet inhuren om wat zijde voor me te spinnen? Ik weet vrij zeker dat spinnen niet onder wetgeving omtrent kinderarbeid vallen. – <i>Carl, ethisch kleermaker</i>"

		// WISP
		"dac_ability_wisp_tether"													"Koppeling"
		"dac_ability_wisp_tether_description"										"Io koppelt zich vast aan de dichtstbijzijnde geallieerde held en trekt zichzelf ernaartoe. Io en de gekoppelde held krijgen {s:bonus_attack_speed} meer aanvalssnelheid en {s:damage_reduction}% schadevermindering. De koppeling breekt als Io meer dan {s:tether_break_distance} cellen van de andere eenheid verwijderd raakt."
		"dac_ability_wisp_tether_lore"												"<i>Enno staart aandachtig naar Io</i>"

		"dac_ability_wisp_relocate"													"Verplaatsen"
		"dac_ability_wisp_relocate_description"										"Io teleporteert zichzelf {s:relocate_time_away} seconden lang weg om een dode held opnieuw tot leven te wekken. Io en de held komen terug met volledige gezondheid en gezuiverd van negatieve effecten."
		"dac_ability_wisp_relocate_lore"											"<i>Io staart terug</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Stekelstorm"
		"dac_ability_bristleback_quill_spray_description"							"Stekelrug vuurt stekels van zijn rug af en brengt zo schade toe aan vijandelijke eenheden op {s:radius} cellen afstand. Vijanden ontvangen elke keer dat ze door Stekelstorm worden geraakt {s:quill_base_damage} schade, met extra {s:quill_stack_damage} schade voor elke keer dat ze tijdens deze ronde door de Stekelstorm worden geraakt, tot een maximum van {s:max_stacks}."
		"dac_ability_bristleback_quill_spray_lore"									"Laat me je iets pijnlijk duidelijk maken. Jij en de Slagtand laten mijn bar vannacht met rust. – <i>Jull, uitsmijter</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Feestmaal"
		"dac_ability_life_stealer_feast_description"								"PASSIEF: De aanvallen van de Levensrover richten schade aan vijanden aan en genezen hem voor {s:lifesteal_percentage}% van de maximale gezondheid van zijn doelwit."
		"dac_ability_life_stealer_feast_lore"										"Ik zou het erg waarderen als je op basis van mijn toestand geen aannames doet over mijn vermogen om de verblijfplaats van de Levensrover te kennen. – <i>Carl wordt vaak verkeerd beoordeeld</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Schaduwgolf"
		"dac_ability_dazzle_shadow_wave_description"								"Dazzle zendt een straal energie uit die tussen maximaal {s:max_targets} bondgenoten op een afstand van {s:bounce_radius} cellen springt. Elke geraakte bondgenoot wordt met {s:damage} genezen en vijandelijke eenheden in een straal van {s:damage_radius} cellen ontvangen {s:damage} schade. Dazzle wordt altijd door Schaduwgolf genezen."
		"dac_ability_dazzle_shadow_wave_lore"										"En hoeveel gaat het kosten om je diensten aan te houden? Ik heb er persoonlijk belang bij om niet te sterven. – <i>O'nia, paranoïde</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Balbliksem"
		"dac_ability_storm_spirit_ball_lightning_description"						"De Stormgeest verandert in vluchtige elektriciteit, stormt over het slagveld en richt {s:damage} schade aan aan elke eenheid waar hij doorheen beweegt, plus {s:damage_per_cell} schade per cel die hij heeft afgelegd."
		"dac_ability_storm_spirit_ball_lightning_lore"								"De egoïst wordt gemotiveerd door zijn hart, niet door zijn hoofd. Hij is het makkelijkst te vangen. – <i>Turath smeedt een complot</i>"

		"dac_ability_storm_spirit_element"											"Stormelement"
		"dac_ability_storm_spirit_element_description"								"PASSIEF: Wanneer de Stormgeest een deltaslag uitvoert, ontwapent hij getroffen vijandelijke eenheden 3 seconden."
		"dac_ability_storm_spirit_element_lore"										"We hoeven ons geen zorgen om Quiet te maken. Ze wil niet in de buurt van de storm zijn. – <i>Anessix bekijkt het van alle kanten</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Verborgen vuist"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Vuurgeest danst rond aan een verschroeiende snelheid, valt alle vijanden in een straal van {s:cells} cellen aan en keert dan terug naar zijn startpositie. Aanvallen richten {s:bonus_damage} bonusschade aan."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Hij mag dan als een demon vechten, maar hij is een eerzaam wezen. Zijn woord is goed genoeg voor mij. – <i>Jull, eervolle dief</i>"

		"dac_ability_ember_spirit_element"											"Vuurelement"
		"dac_ability_ember_spirit_element_description"								"PASSIEF: Wanneer de Vuurgeest een deltaslag uitvoert, steekt hij getroffen vijandelijke eenheden 3 seconden in brand."
		"dac_ability_ember_spirit_element_lore"										"Ik wil deze gast in dienst. – <i>Hobgen herkent talent</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Geomagnetische greep"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"De Aardgeest roept een stenen beeld van buiten het bord op en trekt het naar zijn huidige doelwit. Vijanden die door het stenen beeld worden geraakt, worden {s:silence_duration} seconden het zwijgen opgelegd en ontvangen {s:damage} schade."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Ik vind het geweldig als Kaolin de stad bezoekt. Hij graaft de meest fascinerende dingen op. – <i>Carl is op zoek naar voorraden</i>"

		"dac_ability_earth_spirit_element"											"Aardelement"
		"dac_ability_earth_spirit_element_description"								"Passief: Wanneer de Aardgeest een deltaslag uitvoert, legt hij getroffen vijandelijke eenheden 3 seconden het zwijgen op."
		"dac_ability_earth_spirit_element_lore"										"Wat ik er wel niet voor zou geven om Wukong tegen die gast in de ring te zien vechten... – <i>Grek, fantasiebookmaker</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Ontdubbelen"
		"dac_ability_void_spirit_dissimilate_description"							"De Leemtegeest verdwijnt in de ether en maakt 3 portalen. Na {s:disappear_duration} seconden keert hij door een van de portalen terug, waarbij hij {s:bonus_damage} schade aan vijanden in een straal van {s:damage_distance} cel aanricht en hun pantser {s:armor_reduction_duration} seconden met {s:armor_reduction} verlaagt."
		"dac_ability_void_spirit_dissimilate_lore"									"Je geeft je kluizenaarsbestaan niet op zonder goede reden. Vind uit waarom hij hier is. – <i>Anessix zoekt naar geheimen</i>"

		"dac_ability_void_spirit_element"											"Leemte-element"
		"dac_ability_void_spirit_element_description"								"PASSIEF: Wanneer de Leemtegeest een deltaslag uitvoert, deactiveert hij passieve effecten van getroffen vijandelijke eenheden 3 seconden."
		"dac_ability_void_spirit_element_lore"										"Wees voorzichtig in zijn buurt, Slark. – <i>Jull geeft welgemeend advies</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Donderbus"
		"dac_ability_granny_lizard_shotgun_blast_description"						"Na vier normale aanvallen knalt Carabinera met haar jachtgeweer vijanden neer in een straal van 2 cellen en een kegel van {s:blast_width_end} cellen breed. Ze richt {s:blast_damage} schade aan en vertraagt de aanvalssnelheid van getroffen eenheden met {s:blast_bonus_attack_speed}%"
		"dac_ability_granny_lizard_shotgun_blast_lore"								"De Keen hebben altijd een fascinerende kijk op oorlogvoering gehad, en oorlogvoering is mijn werk. Misschien valt er een dealtje te sluiten. – <i>Quiet, investeerder</i>"

		"dac_ability_granny_lizard_bazooka"											"Mortimers kussen"
		"dac_ability_granny_lizard_bazooka_description"								"<i>ONTGRENDELD DOOR DE DRAKENALLIANTIE</i>: Mortimer spuugt {s:projectile_count} klodders naar vijanden tot op een afstand van {s:cast_range} cellen. Bij impact richt elke klodder {s:damage} schade aan alle vijanden in een straal van {s:impact_radius} cel aan en steekt het ze {s:burn_duration} seconden in brand."
		"dac_ability_granny_lizard_bazooka_lore"									"Wat, wil je die dame vertellen dat dat ding geen draak is? – <i>Grek ligt niet wakker van oprechtheid</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"Schaalt met de Underlord"

		"dac_ability_anessix_summon_companions"										"De duivelse vrienden van Anessix"
		"dac_ability_anessix_summon_companions_description"							"Anessix roept haar demonenbende op. Als beide demonen dood zijn, wekt ze hen terug tot leven."
		"dac_ability_anessix_summon_companions_lore"								"Over de duivelse vrienden"

		"dac_ability_anessix_summon_golem"											"Demonische golem oproepen"
		"dac_ability_anessix_summon_golem_description"								"Anessix maakt gebruik van een onheilige gunst om een demonische golem op te roepen."
		"dac_ability_anessix_summon_golem_lore"										"Over de demonische golem"

		"dac_ability_anessix_passive"												"Passieve vaardigheid"
		"dac_ability_anessix_passive_description"									"Anessix genereert een basis van {s:tick_amount} hype per seconde (HPS), met een extra {s:hype_per_demon} HPS per geallieerde demon op het bord. Ze roept een metgezel herhaaldelijk op om aan haar zijde te vechten."

		"dac_ability_anessix_companion_archer_passive"								"Kritieke treffer"
		"dac_ability_anessix_companion_archer_passive_description"					"PASSIEF: De Demonische Boogschutter heeft elke aanval een kans van {s:chance}% om een verwoestende kritieke treffer van {s:bonus}% bij vijandelijke eenheden te veroorzaken."
		"dac_ability_anessix_companion_archer_passive_lore"							"Over de duivelse vrienden"

		"dac_ability_anessix_pure_pain"												"Pure pijn"
