"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Автоатака"
		"dac_ability_magnataur_empower_Description"								"Маґнус зміцнює союзника й надає йому +{s:bonus_damage_pct}% шкоди та {s:cleave_damage_pct}% січі на {s:duration} с."
		"dac_ability_magnataur_empower_Lore"									"Нехай Анесикс гадає, що може використати Енно. Зрозуміє свою помилку хіба за мить до того, як її затопчуть до смерті. — <i>Гобґен, що проявляє таке рідкісне для себе терпіння</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Насінина-кровопивця"
		"dac_ability_treant_leech_seed_Description"								"Ент-Захисник садить у тіло ворожої істоти насінину, яка випиває {s:leech_damage} здоров’я кожні {s:damage_interval} с і сповільнює швидкість атаки й руху на {s:movement_slow}%.<br><br>Насінина лікує союзних істот у радіусі {s:radius} навколо цілі, а тризірковий Ент ще й додає їм +{s:bonus_armor} до броні. Насінина живе {s:duration} с і перестрибує до нової цілі в радіусі {s:radius}, якщо поточна ціль помирає."
		"dac_ability_treant_leech_seed_Lore"									"Брехати не буду, не очікував, що Енно отримає допомогу від дерева. — <i>Джул та Анексис, що теревенять за кухлем темного міцного</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Освітлення"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Хранитель Світла чаклує світлову хвилю, яка з часом набирає сили. Коли хвиля вивільнюється, вона завдає {s:damage_per_second} шкоди за секунду чаклування."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Хранитель Світла сильніший, ніж здається. Дай йому волю, і він знищить нас усіх. — <i>Турат, Руйнівник Світла</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Кам’яний погляд"
		"dac_ability_medusa_stone_gaze_Description"								"Будь-яка ворожа істота в радіусі {s:radius}, що дивиться на Медузу, отримає зниження швидкості руху й атаки на {s:slow}%.<br><br>Якщо істота дивитиметься на Медузу довше {s:face_duration} с під час дії здібності, то вона перетвориться на камінь.<br><br>Скам’янілі істоти приголомшені та зазнають {s:bonus_physical_damage}% додаткової фізичної шкоди."
		"dac_ability_medusa_stone_gaze_Lore"									"Мені подобаються такі жінки, але дивитися я можу лише на Міреску. — <i>Гобґен, закоханий поганець</i>"

		"dac_ability_medusa_split_shot"											"Роздільний постріл"
		"dac_ability_medusa_split_shot_Description"								"ПАСИВНО: за допомогою магії Медуза вистрілює ще кілька додаткових стріл ({s:extra_shots}), які влучають в істот довкола цілі в радіусі {s:range}. Ці додаткові стріли завдають шкоду, що дорівнює {s:damage_modifier}% шкоди від її головної стріли."
		"dac_ability_medusa_split_shot_Lore"									"Ти бачив, як та жіночка стріляє з лука? Ну, ти ще живий, тож, мабуть, не бачив… — <i>Ґрек розмовляє зі своїм останнім найманцем</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Запал"
		"dac_ability_troll_warlord_fervor_Description"							"ПАСИВНО: з кожною наступною атакою по одній цілі Троль-Воєвода збільшує швидкість атаки на {s:attack_speed}%.<br><br>Якщо Троль-Воєвода змінить ціль, пришвидшення зникає.<br><br>Ефект поєднується до {s:max_stacks} разів."
		"dac_ability_troll_warlord_fervor_Lore"									"Ефективний і невпинний. Як я. — <i>Тиша, що не тринькає сили</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Демонічне очищення"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Постійно очищує обрану ворожу істоту — знімає позитивні ефекти, застосовує переривання та сповільнює ціль на {s:duration} с. Уражена істота поступово відновлюватиме свою швидкість аж до завершення дії здібності, після чого їй буде завдано {s:damage} шкоди. Тризірковий Тінистий Демон втрачає {s:health_pct}% здоров’я спочатку й отримує половину цього значення назад після очищення, якщо виживе."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Слухай, пухнастий вилупку. Гадаєш, зможеш поладнати з Анесикс? А бачив, із ким ладнає вона? — <i>Гобґен, що не є прихильником ні демонів, ні Енно</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Велика січа"
		"dac_ability_sven_cleave_Description"									"ПАСИВНО: ближні атаки цієї істоти влучають у всіх ворогів поблизу і завдають {s:cleave_damage_pct}% шкоди."
		"dac_ability_sven_cleave_Lore"											"Ви коли-небудь бачили, як лицар Ордену Стражів робить свою справу? Прекрасне видовище. —  <i>Ґрек, що знається на боях</i>"

		"dac_ability_sven_gods_strength"										"Могутність бога"
		"dac_ability_sven_gods_strength_Description"							"Свен лютує і здобуває {s:bonus_damage_from_cast}% шкоди на {s:duration} с."
		"dac_ability_sven_gods_strength_Lore"									"Ніщо не приваблює мене більше, аніж чоловіки, одержимі помстою. — <i>Анесикс, що придивляється до Свена</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Смертельна циркулярка"
		"dac_ability_timbersaw_whirling_death_Description"						"Гострі краї обладунків Лісопила розкручуються та завдають {s:damage} шкоди ворогам у радіусі {s:radius}."
		"dac_ability_timbersaw_whirling_death_Lore"								"Я зрозумів, що Енно покличе своїх лісових друзів, тож я покликав своїх. — <i>Гобґен, що занурюється у розв’язання проблем</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"Під дихало!"
		"dac_ability_tusk_walrus_punch_Description"								"Бивень виконує свій фірмовий моржевий удар «Під дихало!», який завдає {s:critical_damage}% критичної шкоди й запускає ворога високо в повітря на {s:air_time} с. Після приземлення ціль буде сповільнена на {s:move_slow}% упродовж {s:slow_duration} с і втратить {s:attack_slow} швидкості атаки. Під час цього удару Бивня не можна вбити."
		"dac_ability_tusk_walrus_punch_Lore"									"Колись ми товаришували. Вдарити він мене прийшов чи допомогти мені — побачимо. — <i>Джул, що згадує молодість</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Темний щит"
		"dac_ability_abaddon_aphotic_shield_Description"						"Абаддон оточує союзну істоту щитом із потоків темної енергії, що поглинає {s:damage_absorb} шкоди на {s:duration} с.<br><br>Коли щит знищують, він вибухає, завдаючи ворогам у радіусі {s:radius} {s:damage_absorb} шкоди.<br><br>Знімає деякі негативні ефекти й приголомшення при чаклуванні."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Я поважаю дім Авернусів. — <i>Оня, що вислужується</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Метаморфоза"
		"dac_ability_terrorblade_metamorph_Description"							"Терор трансформується в могутнього демона з дальньою атакою в радіусі {s:bonus_attack_range}, зі збільшенням шкоди на {s:bonus_attack_damage} та збільшенням швидкості атаки на {s:bonus_attack_speed}. Окрім того, Терор обмінюється показниками здоров’я з іншим союзником на початку чаклування цієї здібності."
		"dac_ability_terrorblade_metamorph_Lore"								"Коли бачиш, як оцей говорить з Анесикс, то розумієш, що коїться щось лихе. — <i>Джул, наглядач за людьми</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Міни дистанційної дії"
		"dac_ability_techies_bomb_Description"									"Техніки закладають вибухівку, яка спрацьовує через {s:explode_time} с і спричиняє {s:damage} шкоди в радіусі {s:range}.<br><br>Шкода вдвічі зменшується, якщо ворог знаходиться далі, ніж половина радіуса вибуху."
		"dac_ability_techies_bomb_Lore"											"Про мастаків можна багато чого казати, але в їхній компанії завжди весело. — <i>Гобґен, що спостерігає за підготовкою до вибуху</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Статична буря"
		"dac_ability_disruptor_static_storm_Description"						"Буревісник утворює нищівну бурю статичних розрядів, яка під час дії заклинання знемовлює всіх ворогів у радіусі {s:radius} на {s:duration} с.<br><br>Шкода спочатку невелика, але впродовж тривалості бурі досягає максимальних {s:damage_total}."
		"dac_ability_disruptor_static_storm_Lore"								"Не знаю, чи він хоче допомогти мені, чи не хоче втратити з поля зору Сокирника. — <i>Врен, капітан блазнів</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Очищення"
		"dac_ability_omniknight_purification_Description"						"Вселицар миттєво лікує союзника на {s:heal} здоров’я та завдає стільки ж шкоди всім ворогам у радіусі {s:radius}."
		"dac_ability_omniknight_purification_Lore"								"Віра — його зброя… як і моя. — <i>Турат, схиблений рятівник</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"М’ясний гак"
		"dac_ability_pudge_meathook_Description"								"Пузань кидає закривавлений гак у найдальшу істоту та притягує її, завдаючи {s:damage} шкоди.<br><br>Пузань і союзник у радіусі однієї клітини спрямовують атаки на ворога, доки той не помре."
		"dac_ability_pudge_meathook_Lore"										"Пузань? Ну, він просто товстун. Завжди вітається, поки я здираю шкіру з трупів. — <i>Карл, не зовсім живий ткач</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Слово тіней"
		"dac_ability_warlock_shadow_word_Description"							"Чорнокнижник шепоче закляття, яке миттєво зцілює союзника на {s:burst_tooltip} здоров’я і ще на {s:hot_tooltip} щосекунди впродовж {s:duration} с, або ж завдає ворогу {s:damage_tick} шкоди щосекунди впродовж {s:duration} с."
		"dac_ability_warlock_shadow_word_Lore"									"Ліпше деякі таємниці не розкривати… Демнок заплатить за свою необережність. — <i>Анесикс, що очікує на слушну нагоду</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Кривава лють"
		"dac_ability_bloodseeker_blood_rage_Description"						"ПАСИВНО: коли в цілі Кривавого Жерця зменшується здоров’я, його швидкість атаки збільшується аж до максимальної {s:attack_speed_bonus_max}, коли ціль має {s:min_health_pct}% здоров’я.<br><br>Після вбивства він отримує {s:heal_pct}% від макс. здоров’я цілі."
		"dac_ability_bloodseeker_blood_rage_Lore"								"За свою кар’єру я добре вивчив одну річ — народ обожнює кров. Найміть його. — <i>Ґрек, переконливий рекрутер</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Буремний двійник"
		"dac_ability_arc_warden_tempest_double_Description"						"Вартовий створює свою копію зі своїм поточним здоров’ям.<br><br>Копія може використовувати всі поточні предмети Вартового і пробуватиме атакувати того ж ворога, як і сам Вартовий. Копії не можуть створювати копії та завдають на {s:clone_dmg_reduction}% менше шкоди."
		"dac_ability_arc_warden_tempest_double_Lore"							"Він має в собі таїну творіння. — <i>Турат, загадковий пророк</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double_no_items"						"Буремний двійник"
		"dac_ability_arc_warden_tempest_double_no_items_Description"			"Вартовий створює свого двійника з тією кількістю здоров’я, що має на мить чаклування. Клони завдають на {s:clone_dmg_reduction}% менше шкоди."
		"dac_ability_arc_warden_tempest_double_no_items_Lore"					"Він має в собі таїну творіння. — <i>Турат, загадковий пророк</i>"

		//MIRANA
		"dac_ability_mirana_arrow"												"Священна стріла"
		"dac_ability_mirana_arrow_Description"									"Мірана зі смертельною точністю випускає стрілу, яка завдає {s:damage} шкоди й приголомшує ворожу істоту на {s:duration} с."
		"dac_ability_mirana_arrow_Lore"											"Не довіряйте фанатичній Врен. Воно того не варте. — <i>Джул, що дає дружню пораду</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Перетворення субстанцій"
		"dac_ability_slark_essence_shift_description"							"ПАСИВНО: з кожною атакою Сларка його шкода збільшується на {s:stolen_dmg}, а швидкість атаки — на {s:stolen_aspd}."
		"dac_ability_slark_essence_shift_lore"									"Сларк — хороший інструмент для перевезення товарів до Темного рифу й назад. — <i>Джул, що сам себе створив</i>"

		"dac_ability_slark_pounce"												"Наскок"
		"dac_ability_slark_pounce_description"									"ПАСИВНО: після приземлення Сларк роззброює ціль на {s:disarm_duration} с."
		"dac_ability_slark_pounce_lore"											"Як це він знову застав нас зненацька?! — <i>Гобґен, що має вогняний темперамент</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Зональна атака"
		"dac_ability_black_dragon_splash_attack_description"					"ПАСИВНО: дальні атаки чорного дракона завдають шкоди всім істотам у радіусі 1 від цілі."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Велика січа"
		"dac_ability_sven_great_cleave_description"								"ПАСИВНО: ближні атаки цієї істоти влучають у всіх ворогів поблизу."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Імунітет до чарів"
		"dac_ability_roshan_spell_immune_description"							"АКТИВНО: Рошан отримує імунітет до чарів на {s:duration} с."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Обплітальні пазурі"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"Атаки ведмедя-духа мають шанс оплести ціль, що вкорінює та роззброює її."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Жага крові"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Істота пробуджує лють у союзника, чим збільшує його швидкість руху на {s:bonus_movement_speed}% та швидкість атаки на {s:bonus_attack_speed}%. Якщо чаклується на себе, то швидкість атаки збільшується на {s:self_bonus}%."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Цілюща аура"
		"dac_ability_healing_ward_healing_aura_description"								"Зцілює {s:health_regen} здоров’я за секунду союзникам у радіусі {s:heal_range}."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Прикликання зомбі"
		"dac_ability_tombstone_raise_zombies_description"							"Істоти, що помирають у радіусі {s:range}, прикликають зомбі."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Барикади"
		"dac_ability_barricade_aura_description"							"Барикади захищають союзників поблизу та мають імунітет до чарів."
		"dac_ability_barricade_aura_lore"									""

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Провокація"
		"dac_ability_target_dummy_taunt_description"							"Манекен-мішень провокує ворогів."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Стіна попелу"
		"dac_ability_cinderwall_aura_description"							"Стіна попелу захищає союзників і підпалює ворогів поблизу, а також має імунітет до чарів."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Хронокуб"
		"dac_ability_faceless_void_chronocube_description"							"Створює в просторово-часовому континуумі кубічний пухир, у якому знерухомлюються всі істоти в радіусі {s:radius} від центру на {s:stun_duration} с. Безликий рухається всередині дуже швидко й отримує {s:bonus_attack_speed} до швидкості атаки. Хронокуб не діє лише на Безликого. Під час застосування Безликий спробує телепортувати всіх союзних убивць за межі куба."
		"dac_ability_faceless_void_chronocube_lore"									"Клазурим збирається втрутитися. Це проблема. — <i>Джул розуміє, що час кулаками не пробити</i>"

		"dac_ability_faceless_void_time_walk"										"Стрибок крізь час"
		"dac_ability_faceless_void_time_walk_description"							"ПАСИВНО: Безликий стрибає до своєї наступної цілі, відновлюючи своє здоров’я, яке було втрачене за останні 2 с."
		"dac_ability_faceless_void_time_walk_lore"									"Ох, та не чіпав я той клятий годинник. Гадаєте, мені треба, щоби тут нишпорив П’єрпонт? — <i>Гобґен, розсудливий маніяк</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Дуель"
		"dac_ability_legion_commander_duel_description"								"Командувачка Легіону нападає на ворога із найнижчим здоров’ям на відстані 1 від неї, і вони мусять битися один з одним упродовж {s:stun_duration} с. Обоє героїв не можуть користуватися здібностями чи лікуватися. Якщо хтось із героїв помирає під час дії Дуелі, то переможець назавжди здобуває {s:winner_bonus_damage} додаткової шкоди ([20/32/48] додаткової шкоди в режимі «Вибування»)."
		"dac_ability_legion_commander_duel_lore"									"Не варто ставати в позу, Тресдін… Я можу допомогти знайти Рікса. — <i>Анесикс, що зберігає холоднокровність під тиском</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Воля бикозмії"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>РОЗБЛОКОВУЄТЬСЯ АЛЬЯНСОМ ДРАКОНІВ</i><br>ПАСИВНО: коли Командувачка Легіону перемагає в Дуелі, то миттєво відновлює {s:heal_percentage}% свого максимального здоров’я."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Знаю я таких, як ви, Командувачко. Найнебезпечніші істоти у світі. Ті, хто вірять у власну правоту. — <i>Врен, вічна студентка</i>"

		"dac_ability_legion_commander_element"										"Елементальний наступ"
		"dac_ability_legion_commander_element_description"							"ПАСИВНО: коли Командувачка Легіону здійснює Дельта-удар як частину альянсу духів, то вона завдає подвійну шкоду."
		"dac_ability_legion_commander_element_lore"									"Більшість солдатів переслідуються духами… Вона ж веде їх у бій. — <i>Джул, що впізнає посттравматичний погляд, коли бачить його</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Шипований карапакс"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Нікс-Убивця випускає зі свого карапакса шипи, які блокують та відбивають назад {s:damage_taken_reflect_percentage}% завданої шкоди (лише один раз від кожного ворога). Кожен нападник отримує відсоток від шкоди, яку намагається завдати, а також приголомшується на {s:stun_duration} с."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Правильне слово — членистоногий. — <i>Тиша, що уважна до деталей</i>"

		"dac_ability_nyx_assassin_vendetta"											"Вендета"
		"dac_ability_nyx_assassin_vendetta_description"								"ПАСИВНО: перша атака Нікса-Вбивці після телепортації завдає {s:bonus_damage} додаткової шкоди й застосовує на ворога впродовж {s:break_duration} с переривання, що вимикає всі пасивні ефекти."
		"dac_ability_nyx_assassin_vendetta_lore"									"Комаха. Членистоногий. Антропод. Та яка, до дідька, різниця? Головне, щоби міг убити кого мені потрібно. — <i>Оня, якій не подобається, коли її виправляють</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Шукучі"
		"dac_ability_weaver_shukuchi_description"									"Ткач зникає з поля зору, тож його не можна вибрати ціллю атаки. Він швидко біжить крізь істот до нової цілі в радіусі {s:distance_cells}. Завдає {s:damage} шкоди кожній істоті, крізь яку пробігає. Протягом {s:mana_break_duration} с опісля, атаки Ткача спалюють {s:mana_per_hit} мани й завдають {s:damage_per_burn} шкоди за кожну спалену ману."
		"dac_ability_weaver_shukuchi_lore"											"Ткач. Разом ми сплетемо новий світ. — <i>Турат, що готовий на божевільні вчинки</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Виплід павученят"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Павучиха вприскує кладку яєць у ворога, завдаючи йому {s:damage} шкоди. Якщо ціль вмирає, то вилупиться {s:num_spiderlings} павученят. Їх не можна вибрати за ціль, вони завдають невелику шкоду і мають 1 здоров’я."
		"dac_ability_broodmother_spawn_spiderlings_lore"							"Буває, що я спалюю людей живцем, але принаймні не відкладаю в них яєць… — <i>Гобґен, що виправдовується</i>"

		"dac_ability_broodmother_spin_web"											"Павутиння"
		"dac_ability_broodmother_spin_web_description"								"Павучиха обплітає ворога павутинням у радіусі {s:radius}. Вороги в павутинні втрачають {s:debuff_attack_speed} швидкості атаки, {s:debuff_speed}% швидкості руху та {s:debuff_casting_speed}% швидкості чаклування."
		"dac_ability_broodmother_spin_web_lore"										"Чи можу я найняти цих дитинчат, щоби вони сплели мені трохи шовку? Певен, що на павуків закон про заборону дитячої праці не поширюється. — <i>Карл, порядний кравець</i>"

		// WISP
		"dac_ability_wisp_tether"													"Прив’язь"
		"dac_ability_wisp_tether_description"										"Іо прив’язується до найближчого союзного героя і підлітає до нього. Обоє на прив’язі отримують {s:bonus_attack_speed} до швидкості атаки і {s:damage_reduction}% зменшення зазнаної шкоди. Прив’язь розривається, якщо Іо знаходиться далі {s:tether_break_distance}."
		"dac_ability_wisp_tether_lore"												"<i>Енно пильно дивиться на Іо</i>"

		"dac_ability_wisp_relocate"													"Переміщення"
		"dac_ability_wisp_relocate_description"										"Іо телепортується на {s:relocate_time_away} с, щоби відродити загиблого героя. Обоє повертаються з повним здоров’ям і без негативних ефектів. Тризірковий Іо також скидає зарядки мертвого героя."
		"dac_ability_wisp_relocate_lore"											"<i>Іо пильно дивиться у відповідь</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Хмара голок"
		"dac_ability_bristleback_quill_spray_description"							"Бронеспин випускає голки зі своєї спини, які ушкоджують ворогів у радіусі {s:radius}. Вороги зазнають {s:quill_base_damage} шкоди, а також додаткові {s:quill_stack_damage} шкоди за кожне поєднання Хмари голок у цьому раунді (макс. поєднань: {s:max_stacks})."
		"dac_ability_bristleback_quill_spray_lore"									"Дозвольте дещо до болю чітко пояснити. Ви з Бивнем сьогодні не потрощите мій бар. — <i>Джул, що займає позу</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Пожива"
		"dac_ability_life_stealer_feast_description"								"ПАСИВНО: атаки Життєкрада ушкоджують ворогів і лікують його на {s:lifesteal_percentage}% від максимального здоров’я цілі."
		"dac_ability_life_stealer_feast_lore"										"Мені неприємно, коли ви припускаєте, ніби я знаю, де тиняється Життєкрад. Припускаєте лише тому, що я на нього зовні схожий. — <i>Карл, якого несправедливо засуджують</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Хвиля тіней"
		"dac_ability_dazzle_shadow_wave_description"								"Дазл випускає силову дугу, яка стрибає між союзниками (до {s:max_targets}) в радіусі {s:bounce_radius}. Уражені союзники лікуються на {s:damage}, а ворожі істоти в радіусі {s:damage_radius} від них зазнають {s:damage} шкоди. Дазл завжди зцілюється Хвилею тіней."
		"dac_ability_dazzle_shadow_wave_lore"										"І скільки коштуватимуть ваші послуги? Я маю кревний інтерес не помирати. — <i>Оня, що б’ється з тінню</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Кульова блискавка"
		"dac_ability_storm_spirit_ball_lightning_description"						"Штормовий Дух стає летючим згустком струму, що мчить через поле бою й завдає {s:damage} шкоди кожній істоті, крізь яку проходить, і ще {s:damage_per_cell} шкоди за кожну пройдену клітинку."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Індивідуаліст мотивується серцем, а не головою. Його найлегше спіймати в пастку. — <i>Турат, що мудрує план</i>"

		"dac_ability_storm_spirit_element"											"Штормовий елементаль"
		"dac_ability_storm_spirit_element_description"								"ПАСИВНО: коли Штормовий Дух застосовує Дельта-удар, то обеззброює зачепленого ворога на 3 секунди."
		"dac_ability_storm_spirit_element_lore"										"Можна не турбуватися про Тишу, вона не захоче бути біля шторму. — <i>Анесикс, що розглядає всі аспекти проблеми</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Вихор ударів"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Палючий Дух кидається в різні боки та стрімко атакує всіх ворогів у радіусі {s:cells}, а потім повертається на початкову позицію. Ці атаки завдають на {s:bonus_damage} більше шкоди."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Хоч і б’ється він як демон, та насправді є істотою честі. Його слова для мене достатньо. — <i>Джул, що вірить у злодійську честь</i>"

		"dac_ability_ember_spirit_element"											"Вогняний елементаль"
		"dac_ability_ember_spirit_element_description"								"ПАСИВНО: коли Палючий Дух застосовує Дельта-удар, то підпалює зачепленого ворога на 3 секунди."
		"dac_ability_ember_spirit_element_lore"										"Цей хлопець мені точно потрібен. — <i>Гобґен, що знайшов подібного собі</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Геомагнітний захват"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Земляний Дух прикликає з-за меж поля кам’яного боввана і штовхає його на свою поточну ціль. Зачеплені бовваном вороги знемовлюються на {s:silence_duration} с і зазнають {s:damage} шкоди. Тризірковий герой також приголомшує ворогів на {s:stun_duration} с."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Мені подобається, коли в місті з’являється Каолінь. Він дістає з-під землі неймовірно захопливі речі. — <i>Карл, що шукає припаси</i>"

		"dac_ability_earth_spirit_element"											"Земляний елементаль"
		"dac_ability_earth_spirit_element_description"								"ПАСИВНО: коли Земляний Дух застосовує Дельта-удар, то знемовлює зачепленого ворога на 3 секунди."
		"dac_ability_earth_spirit_element_lore"										"Що б я тільки не віддав, аби побачити його на рингу з Укуном… — <i>Ґрек, бухгалтер-мрійник</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Дисиміляція"
		"dac_ability_void_spirit_dissimilate_description"							"Порожнечий Дух входить до ефіру, зникає і створює три портали. Через {s:disappear_duration} с він виходить крізь один із порталів і завдає {s:bonus_damage} шкоди ворогам у радіусі {s:damage_distance}, а також зменшує їхню броню на {s:armor_reduction} упродовж {s:armor_reduction_duration} с."
		"dac_ability_void_spirit_dissimilate_lore"									"Ніхто не виходить зі схованки без причини. З’ясуйте, навіщо він тут. — <i>Анесикс, що розшукує таємниці</i>"

		"dac_ability_void_spirit_element"											"Порожнечий елементаль"
		"dac_ability_void_spirit_element_description"								"ПАСИВНО: коли Порожнечий Дух застосовує Дельта-удар, то перериває дію пасивних здібностей зачепленого ворога на 3 секунди."
		"dac_ability_void_spirit_element_lore"										"Ходи обережно коло нього, Сларку… <i>Джул, що дає дружню пораду</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Надійна рушниця"
		"dac_ability_granny_lizard_shotgun_blast_description"						"Після 4 звичайних атак Запальниця смалить у ворога зі своєї рушниці та завдає {s:blast_damage} шкоди, сповільнюючи швидкість атак зачеплених ворогів на {s:blast_bonus_attack_speed}%"
		"dac_ability_granny_lizard_shotgun_blast_lore"								"Мастаки завжди були здібними до військової справи, а війна — мої активи й ремесло. Гадаю, тут можна робити бізнес. — <i>Тиша, янгольський інвестор</i>"

		"dac_ability_granny_lizard_bazooka"											"Поцілунок Мортімера"
		"dac_ability_granny_lizard_bazooka_description"								"<i>РОЗБЛОКОВУЄТЬСЯ АЛЬЯНСОМ ДРАКОНІВ</i>. Мортімер плює {s:projectile_count} вогняними згустками у ворогів. Кожен згусток завдає {s:damage} шкоди всім ворогам у радіусі {s:impact_radius} від падіння й підпалює їх на {s:burn_duration} с. Вони також втрачають {s:attack_slow} швидкості атаки на {s:attack_slow_duration} с."
		"dac_ability_granny_lizard_bazooka_lore"									"Невже хочеш сказати цій пані, що її тваринка — зовсім не дракон? — <i>Ґрек, що не впевнений в автентичності</i>"

		// MANGO TREE
		"dac_ability_mango_tree_mango_throw"										"Викидання манго"
		"dac_ability_mango_tree_mango_throw_description"							"На початку бою й кожні {s:mango_production_interval} секунди опісля дерево манго кидає плід манго в радіусі {s:radius}. Кожна істота, яка торкається манго, з’їдає його й отримує 50 мани та 100 здоров’я."
		"dac_ability_mango_tree_mango_throw_lore"									"Не дивіться на мене так, це ж просто фрукт. — <i>Анесикс, що відчайдушно бореться зі стереотипами</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"Посилюється з підлордом"

		"dac_ability_anessix_summon_companions"										"Демонічні друзі Анесикс"
		"dac_ability_anessix_summon_companions_description"							"Анесикс прикликає своїх приятелів-демонів. Після гибелі обох вона прикликає їх знову."
		"dac_ability_anessix_summon_companions_lore"								"Завжди корисно знати людей… — <i>Анесикс, підземний зв’язківець</i>"

		"dac_ability_anessix_summon_golem"											"Виклик демонічного ґолема"
