"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-angreb"
		"dac_ability_lone_druid_summon_bear"									"Hidkald Bjørnens Ånd"
		"dac_ability_lone_druid_summon_bear_Description"						"Hidkalder en stærk ledsager i form af Bjørnens Ånd."
		"dac_ability_lone_druid_summon_bear_Lore"								"Bare hold bjørnen væk fra mig, okay? Jeg kan ikke lide bjørne. <i>&#8211; Grek, som har en sygelig angst for bjørne</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Kaoskugle"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Kaosridderen kaster en mystisk energikugle, som giver {s:damage_min}-{s:damage_max} skade og lammer i {s:stun_min}-{s:stun_max} sek."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Det Hvide Spir kunne have godt af lidt kaos. <i>&#8211; Hobgen, kaosanstifteren</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Blodbegær"
		"dac_ability_ogre_magi_bloodlust_Description"							"Troldemagikeren vækker en galskab i en allieret enhed, hvilket øger dens bevægelseshastighed med {s:bonus_movement_speed}% og angrebshastighed med {s:bonus_attack_speed}%. Hvis den bruges på Troldemagikeren selv, er angrebshastighedsbonussen {s:self_bonus}%. Troldemagikeren har {s:multicast_chance}% chance for at bruge denne evne på 2 mål."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Troldemagikeren er dobbelt så meget værd som sin pris. Heldigvis er han også en idiot. <i>&#8211; O'nia, tilbudsjæger</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Forstærk"
		"dac_ability_magnataur_empower_Description"								"Magnus gør en allieret rasende, hvilket giver den +{s:bonus_damage_pct}% skade og {s:cleave_damage_pct}% kløvning i {s:duration} sek."
		"dac_ability_magnataur_empower_Lore"									"Lad bare Anessix tro, at hun kan snyde Enno. Hun finder ud af, hun tager fejl et par sekunder før, hun trampes til døde. <i>&#8211; Hobgen viser et sjældent tegn på tålmodighed </i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Blodsugende Frø"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector plants a life-sapping seed in an enemy unit, draining its health by {s:leech_damage} every {s:damage_interval} seconds, while simultaneously slowing its attack and movement speed by {s:movement_slow}%.<br><br>The seed heals friendly units up to {s:radius} cell away from the target, and at 3 stars gives them +{s:bonus_armor} Armor. Lasts {s:duration} seconds. Jumps to a new target within {s:radius} cell if the current target dies."
		"dac_ability_treant_leech_seed_Lore"									"For at være helt ærlig havde jeg ikke forventet, at Enno ville få hjælp fra et træ. <i>&#8211; Jull og Anessix over en drink</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Belys"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Lysets Vogter kanaliserer energi og opbygger mere kraft, desto længere energien kanaliseres. Når energien frigives, sendes en bølge frem, som giver {s:damage_per_second} skade pr. sekund, der kanaliseres."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Vogteren er mægtigere, end han giver sig ud for. Hvis ikke han holdes i skak, er det slut med os alle sammen. <i>&#8211; Turath, lyseslukkeren</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Forstenet Blik"
		"dac_ability_medusa_stone_gaze_Description"								"Alle fjendtlige enheder, som er {s:radius} felter væk, der kigger på Medusa, får reduceret deres bevægelses- og angrebshastighed med {s:slow}%.<br><br>Hvis en enhed kigger på Medusa i {s:face_duration} sek. i alt, forvandles enheden til sten.<br><br>Forstenede enheder er lammede og tager {s:bonus_physical_damage}% ekstra fysisk skade."
		"dac_ability_medusa_stone_gaze_Lore"									"Hun er en kvinde efter min smag, men jeg ser kun Mireska. <i>&#8211; Hobgen, forelsket kriminel</i>"

		"dac_ability_medusa_split_shot"											"Delt Skud"
		"dac_ability_medusa_split_shot_Description"								"PASSIV: Medusa skyder på magisk vis op til {s:extra_shots} ekstra pile og rammer yderligere mål, som er inden for {s:range} felt fra hendes primære mål. De ekstra pile giver {s:damage_modifier}% af hendes primære pils skade."
		"dac_ability_medusa_split_shot_Lore"									"Har du set den kvinde skyde med bue og pil? Du er stadig i live, så det har du nok ikke... <i>&#8211; Grek gør reklame for sin seneste ansatte</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Iver"
		"dac_ability_troll_warlord_fervor_Description"							"PASSIV: Troldeføreren giver slag efter slag og opnår {s:attack_speed}% øget angrebshastighed pr. stak.<br><br>Hvis Troldeføreren skifter mål, nulstilles stakkene.<br><br>Denne effekt kan kun stables op til {s:max_stacks} gange."
		"dac_ability_troll_warlord_fervor_Lore"									"Effektiv og ubarmhjertig. Ligesom mig. <i>&#8211; Den Stille spilder ingen kræfter</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Dæmonisk Udrensning"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Repeatedly purges the target enemy unit, removing positive buffs, applying Break, and slowing the target for {s:duration} seconds. The unit slowly regains its movement/attack speed until the end of the duration, upon which {s:damage} damage is dealt. At 3 stars, the unit loses {s:health_pct}% of its current health at the start, and gains half that back after the purge finishes if it survives."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Lyt du nu til mig, din behårede skiderik. Jeg ved, at du tror, du kan samarbejde med Anessix, men har du set de folk, hun hænger ud med? <i>&#8211; Hobgen er ikke fan af dæmoner (eller Enno)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Svens Slag"
		"dac_ability_sven_cleave_Description"									"PASSIV: Denne enheds nærkampsangreb rammer fjender i nærheden med {s:cleave_damage_pct}%."
		"dac_ability_sven_cleave_Lore"											"Har du nogenside set en ridder af Vigil i kamp? Det er et smukt syn. <i>&#8211; Greek, ekspert i kamp</i>"

		"dac_ability_sven_gods_strength"										"Guddommelig Styrke"
		"dac_ability_sven_gods_strength_Description"							"Sven bliver rasende og får {s:bonus_damage_from_cast}% skade i {s:duration} sek."
		"dac_ability_sven_gods_strength_Lore"									"Der er ikke noget, jeg elsker mere, end en mand, som er besat af hævn. <i>&#8211; Anessix vurderer Svens styrke</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Hvirvlende Død"
		"dac_ability_timbersaw_whirling_death_Description"						"De skarpe kanter på Træsavens rustningstøj hvirvler omkring og skader fjender, som er op til {s:radius} felter væk, med {s:damage} skade."
		"dac_ability_timbersaw_whirling_death_Lore"								"Jeg tænkte, at Enno nok ville tilkalde alle sine venner fra Skovlandet, så jeg søgte også hjælp. <i>&#8211; Hobgen løser et problem</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"HVALROSSLAG!"
		"dac_ability_tusk_walrus_punch_Description"								"Stødtanden rammer med sit mægtige Hvalrosslag og giver et kritisk slag med {s:critical_damage}% skade, som kaster ofret op i luften i {s:air_time} sek. Ofret hæmmes med {s:move_slow}% i {s:slow_duration} sek., når det lander, og mister {s:attack_slow} angrebshastighed. Stødtanden kan ikke dræbes, mens han bruger sit Hvalrosslag."
		"dac_ability_tusk_walrus_punch_Lore"									"Han var engang min ven. Tiden vil vise, om han er her for at hjælpe mig eller banke mig. <i>&#8211; Jull reflekterer over sin ungdom</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Afotisk Skjold"
		"dac_ability_abaddon_aphotic_shield_Description"						"Abaddon beskytter en allieret enhed med et skjold, som absorberer {s:damage_absorb} skade i {s:duration} sek.<br><br>Når skjoldet er ødelagt, eksploderer det og giver {s:damage_absorb} skade til fjender, som er op til {s:radius} felter væk.<br><br>Fjerner bestemte typer af negative effekter og lammelser ved aktivering."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Jeg har stor respekt for Averno-dynastiet. <i>&#8211; O'nia forsøger at indsmigre sig</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Forvandling"
		"dac_ability_terrorblade_metamorph_Description"							"Terrorklinge forvandler sig til en mægtig dæmon med afstandsangreb på 
{s:bonus_attack_range} felter såvel som {s:bonus_attack_damage} bonusskade og {s:bonus_attack_speed} bonusangrebshastighed. Terrorklinge udveksler også helbredsværdier med en anden allieret, når denne evne starter."
		"dac_ability_terrorblade_metamorph_Lore"								"Når du ser ham snakke med Anessix, ved du, at der snart sker noget dårligt. <i>&#8211; Jull er meget opmærksom</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Fjernminer"
		"dac_ability_techies_bomb_Description"									"Banden planter et sprængstof, der detonerer efter {s:explode_time} sek. og giver {s:damage} skade til mål, som er {s:range} felter væk.<br><br>Giver halv skade til fjender, som er halvdelen af den maksimale afstand væk."
		"dac_ability_techies_bomb_Lore"											"Sig, hvad du vil om keenfolket, men de er altid underholdende. <i>&#8211; Hobgen betragter et eksplosivt show</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Elektrisk Storm"
		"dac_ability_disruptor_static_storm_Description"						"Disruptor laver en skadelig elektrisk storm, der undertrykker alle fjendtlige enheder op til {s:radius} felter fra midten i {s:duration} sek.<br><br>Skaden begynder med at være svag, men stiger i kraft og giver en samlet skade på {s:damage_total} i løbet af stormen."
		"dac_ability_disruptor_static_storm_Lore"								"Jeg ved ikke, om han er her for at hjælpe mig, eller om han bare vil holde øje med Bøddelen. <i>&#8211; Wren, leder af en broget blanding</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Rensning"
		"dac_ability_omniknight_purification_Description"						"Den Alvidende Ridder heler øjeblikkeligt en allieret enhed med {s:heal} og skader alle fjendtlige enheder, som er {s:radius} felt væk."
		"dac_ability_omniknight_purification_Lore"								"Han bruger sin tro som våben... Det gør jeg også. <i>&#8211; Turath, indbildt frelser</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Kødkrog"
		"dac_ability_pudge_meathook_Description"								"Pudge affyrer en blodig krog mod den fjende, som er længst væk, og trækker ofret tilbage og giver {s:damage} skade.<br><br>Pudge og allierede, som er 1 felt væk, retter deres angreb mod ofret, indtil det dør."
		"dac_ability_pudge_meathook_Lore"										"Pudge? Ja, han er fin. Siger altid hej, når jeg garver kadavere. <i>&#8211; Carl, udød skrædder</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Skyggeord"
		"dac_ability_warlock_shadow_word_Description"							"Troldmanden hvisker en besværgelse, som øjeblikkeligt giver {s:burst_tooltip} helbred til en allieret enhed og {s:hot_tooltip} pr. sekund i løbet af {s:duration} sek. eller skader en fjendtlig enhed med {s:damage_tick} hvert sekund i {s:duration} sek."
		"dac_ability_warlock_shadow_word_Lore"									"Nogle hemmeligheder skal forblive hemmelige... Demnok kommer til at betale for sin manglende diskretion. <i>&#8211; Anessix venter på sin chance</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Blodraseri"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIVE: As Bloodseeker's enemy's health drops, he gains attack speed, up to a maximum of {s:attack_speed_bonus_max} at {s:min_health_pct}% health.<br><br>Whenever Bloodseeker kills a target, he regains {s:heal_pct}% of their max health. At 3 stars, this occurs when any enemy dies within {s:radius} cell of Bloodseeker."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Hvis jeg har lært én ting i løbet af min karriere, er det, at folk elsker blod. Hyr ham her. <i>&#8211; Grek, beslutsom kamparrangør</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Elektrisk Dobbeltgænger"
		"dac_ability_arc_warden_tempest_double_Description"						"Cirkelvogteren skaber en kopi af sig selv med samme helbred, som han har lige nu.<br><br>Kopien kan bruge alle Cirkelvogterens aktuelle genstande og vil forsøge at angribe den samme fjende som hidkalderen. Kopier kan ikke oprette kloner, og de gør {s:clone_dmg_reduction}% mindre skade."
		"dac_ability_arc_warden_tempest_double_Lore"							"Han fører med sig skabelsens mysterier. <i>&#8211; Turath, kryptisk profet</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double_no_items"						"Elektrisk Dobbeltgænger"
		"dac_ability_arc_warden_tempest_double_no_items_Description"			"Arc Warden creates a copy of himself with the same health he currently has. Clones do {s:clone_dmg_reduction}% less damage, and gain {s:clone_mana_pct_loss_per}% less mana per clone (stacks multiplicatively). At 3 stars, the clone copies Arc Warden's item as well."
		"dac_ability_arc_warden_tempest_double_no_items_Lore"					"Han fører med sig skabelsens mysterier. <i>&#8211; Turath, kryptisk profet</i>"

		//MIRANA
		"dac_ability_mirana_arrow"												"Hellig Pil"
		"dac_ability_mirana_arrow_Description"									"Mirana affyrer en langdistancepil med dødbringende præcision og lammer sit mål i {s:duration} sek. og giver {s:damage} skade."
		"dac_ability_mirana_arrow_Lore"											"Stol aldrig på en fanatiker, Wren. Det er det ikke værd. <i>&#8211; Jull giver et venligt råd</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Essenstyveri"
		"dac_ability_slark_essence_shift_description"							"PASSIV: Slark øger sin skade med {s:stolen_dmg} og hans angrebshastighed med {s:stolen_aspd} for hvert angreb."
		"dac_ability_slark_essence_shift_lore"									"Slark er nøglen til at flytte vores produkt ind og ud af Det Mørke Rev. <i>&#8211; Jull, selvgjort forretningsmand</i>"

		"dac_ability_slark_pounce"												"Overfald"
		"dac_ability_slark_pounce_description"									"PASSIV: Når Slark lander efter et hop, afvæbner han sit mål i {s:disarm_duration} sek."
		"dac_ability_slark_pounce_lore"											"Hvordan kom han os i forkøbet igen!? <i>&#8211; Hidsigproppen Hobgen</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Sprøjteangreb"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIVE: Black Dragon's ranged attack deals {s:splash_damage_percent}% splash damage to units {s:splash_radius} cell away of the Dragon's target."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Svens Slag"
		"dac_ability_sven_great_cleave_description"								"PASSIV: Denne enheds nærkampsangreb rammer fjender i nærheden."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Magisk Immunitet"
		"dac_ability_roshan_spell_immune_description"							"AKTIV: Roshan har nu magisk immunitet i {s:duration} sek."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Rodfæste"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"Bjørnens Ånds angreb har en chance for at rodfæste og afvæbne målet."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Blodbegær"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Væsnet vækker en galskab i en allieret enhed, hvilket øger dets bevægelseshastighed med {s:bonus_movement_speed}% og angrebshastighed med {s:bonus_attack_speed}%. Hvis den bruges på sig selv, er angrebshastighedsbonussen {s:self_bonus}%."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Helingsaura"
		"dac_ability_healing_ward_healing_aura_description"								"Heler allierede enheder inden for {s:heal_range} felt med {s:health_regen} HP pr. sekund."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Hidkald Zombier"
		"dac_ability_tombstone_raise_zombies_description"							"Enheder, som dør inden for en rækkevidde på {s:range} felt, hidkalder en zombie."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Barrikade"
		"dac_ability_barricade_aura_description"							"Barrikade beskytter enheder i nærheden og har magisk immunitet."
		"dac_ability_barricade_aura_rot1"										"Barricade"
		"dac_ability_barricade_aura_rot1_description"							"Barricade protects nearby units and is immune to spells."

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Hån"
		"dac_ability_target_dummy_taunt_description"							"Skydeskiven håner."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Askemur"
		"dac_ability_cinderwall_aura_description"							"Askemur beskytter enheder i nærheden og har magisk immunitet. Den antænder enheder i nærheden."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Kronokube"
		"dac_ability_faceless_void_chronocube_description"							"Skaber en kube i rumtid, som lammer alle enheder, der fanges {s:radius} felter væk fra midten af kuben, i {s:stun_duration} sek. Den Ansigtsløse bevæger sig meget hurtigt inde i kuben og får {s:bonus_attack_speed} angrebshastighed. Kun Den Ansigtsløse er upåvirket. Når kuben bruges, forsøger Den Ansigtsløse at teleportere alle allierede snigmordere ud af den."
		"dac_ability_faceless_void_chronocube_lore"									"Claszurem kommer og blander sig. Dette kan blive et problem. <i>&#8211; Jull indser, at han ikke kan slå tiden</i>"

		"dac_ability_faceless_void_time_walk"										"Tidshast"
		"dac_ability_faceless_void_time_walk_description"							"PASSIV: Den Ansigtsløse skynder sig hen til sit næste mål. Al skade, han har modtaget i de sidste 2 sekunder, heles."
		"dac_ability_faceless_void_time_walk_lore"									"Undskyld, men jeg ville ikke røre ved de forbandede timeglas. Tror du, jeg ønsker, at Pierpont snager her? <i>&#8211; Hobgen, fornuftig galning</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Duel"
		"dac_ability_legion_commander_duel_description"								"Legion Commander targets the lowest health enemy 1 cell away and they are forced to attack each other for {s:stun_duration}s. Neither hero can use abilities or be healed. If either hero dies during the duration, the hero winning the Duel gains permanent {s:winner_bonus_damage_kill_mult} bonus damage. (Damage varies by game mode.)"
		"dac_ability_legion_commander_duel_lore"									"Du behøver ikke at stille dig an, Tresdin. Jeg kan hjælpe dig med at finde Rix. <i>&#8211; Anessix holder hovedet koldt under pres</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Tyresnogens Vilje"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>LÅST OP MED DRAGEALLIANCEN</i><br>PASSIV: Når Legionkommandøren vinder en duel, heles hun straks med {s:heal_percentage}% af sit maksimale helbred."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Jeg kender din type, Kommandør, og du er en af de farligste væsner af dem alle. En troende. <i>&#8211; Wren, verdensstudent</i>"

		"dac_ability_legion_commander_element"										"Elementladning"
		"dac_ability_legion_commander_element_description"							"PASSIV: Når Legionkommandøren udfører et Deltatrick som en del af åndealliancen, giver hun dobbelt skade."
		"dac_ability_legion_commander_element_lore"									"De fleste soldater er hjemsøgt af ånder ... hun anfører dem. <i>&#8211; Jull genkender tusind-meter-blikket, når han ser det</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Piggeskjold"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Lejemorderen Nyx skyder pigge ud af sit skjold, som ophæver og kaster {s:damage_taken_reflect_percentage}% af den modtagne skade tilbage (maks. én gang fra hver kilde) og lammer skadekilden i {s:stun_duration} sek."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Det korrekte ord er leddyr. <i>&#8211; Den Stille går op i detaljer</i>"

		"dac_ability_nyx_assassin_vendetta"											"Vendetta"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIVE: After teleporting to attack a unit, Nyx Assassin deals {s:bonus_damage} bonus damage on his next attack and applies Break to the enemy for {s:break_duration}s, disabling all passive effects. At 3 stars, Nyx Assassin also applies Vendetta after {s:hits_to_trigger} successive attacks. The counter is reset if Vendetta triggers due to teleporting."
		"dac_ability_nyx_assassin_vendetta_lore"									"Insekt. Leddyr. Hvem går op i det? Pointen er, at jeg har brug for, at han dræber nogen nu... Kan du få fat i ham eller ej? <i>&#8211; O'nia, ikke glad for at blive irettesat</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Shukuchi"
		"dac_ability_weaver_shukuchi_description"									"Væveren gør sig usynlig, så den ikke kan rammes, og bevæger sig hurtigt igennem et mål op til {s:distance_cells} felter væk. Væveren giver {s:damage} skade til hver fjende, den bevæger sig igennem. I {s:mana_break_duration} sek. bagefter brænder Væverens angreb {s:mana_per_hit} mana og giver {s:damage_per_burn} skade pr. afbrændt mana."
		"dac_ability_weaver_shukuchi_lore"											"Væveren. Sammen genskaber vi verden. <i>&#8211; Turath, tosset nok til at gøre det</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Udklæk Edderkoppeunger"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Yngelmor sprøjter sin yngel ind i en fjendtlig enhed og giver {s:damage} skade. Hvis målet dræbes, klækkes {s:num_spiderlings} edderkoppeunger. De kan ikke angribes, giver lav skade og har 1 helbred."
		"dac_ability_broodmother_spawn_spiderlings_lore"							"Det kan godt være, at jeg brænder folk levende, men jeg udklækker i det mindste ikke æg i folk... <i>&#8211; Hobgen kryber udenom</i>"

		"dac_ability_broodmother_spin_web"											"Væv et Spind"
		"dac_ability_broodmother_spin_web_description"								"Yngelmor væver et spind, som er {s:radius} felter bredt, oven på en fjendtlig enhed. Fjender i spindet mister {s:debuff_attack_speed} angrebshastighed, {s:debuff_speed}% bevægelseshastighed og {s:debuff_casting_speed}% besværgelseshastighed."
		"dac_ability_broodmother_spin_web_lore"										"Jeg kan vel ikke hyre nogle af dine unger til at spinde noget silke? Jeg er ret sikker på, at edderkopper ikke er dækket under loven om børnearbejde. <i>&#8211; Carl, etisk skrædder</i>"

		// WISP
		"dac_ability_wisp_tether"													"Bind Fast"
		"dac_ability_wisp_tether_description"										"Io binder sig fast til den nærmeste allierede helt og trækker sig selv mod den. Io og den forbunde helt får {s:bonus_attack_speed} angrebshastighed og {s:damage_reduction}% skadereduktion. Forbindelsen vil blive brudt, hvis Io er mere end {s:tether_break_distance} felter væk."
		"dac_ability_wisp_tether_lore"												"<i>Hvorefter Enno stirrer opmærksomt på Io</i>"

		"dac_ability_wisp_relocate"													"Flyt"
		"dac_ability_wisp_relocate_description"										"Io teleports away for {s:relocate_time_away} seconds to revive a dead hero. The two units return with full health and are purged of negative effects. At 3 stars, Io also resets that hero's cooldowns."
		"dac_ability_wisp_relocate_lore"											"<i>Hvorefter lo stirrer tilbage</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Piggespray"
		"dac_ability_bristleback_quill_spray_description"							"Børsteryggen skyder pigge fra sin ryg, der skader alle fjendtlige enheder {s:radius} felter væk. Fjender tager {s:quill_base_damage} skade og yderligere {s:quill_stack_damage} skade for hver stak Piggespray, de rammes med i denne runde med op til maks. {s:max_stacks} stakke."
		"dac_ability_bristleback_quill_spray_lore"									"Lad mig gøre noget helt tydeligt. Du og Stødtanden ødelægger ikke min bar i aften. <i>&#8211; Jull er kølig</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Festmåltid"
		"dac_ability_life_stealer_feast_description"								"PASSIV: Livsstjælerens angreb skader fjender og heler ham selv med {s:lifesteal_percentage}% af målets maksimale helbred."
		"dac_ability_life_stealer_feast_lore"										"Jeg kan ikke lide, at du antager, at jeg på grund af min tilstand øjeblikkeligt ved, hvor Livsstjæleren er. <i>&#8211; Carl, ofte misforstået</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Skyggebølge"
		"dac_ability_dazzle_shadow_wave_description"								"Dazzle udsender en kraftfuld kugle, som danner en lysbue mellem op til {s:max_targets} allierede, som står {s:bounce_radius} felter fra hinanden. Kuglen heler hver allierede med {s:damage} og skader fjendtlige enheder {s:damage_radius} felt væk med {s:damage}. Dazzle heles altid af Skyggebølge."
		"dac_ability_dazzle_shadow_wave_lore"										"Og hvor meget ville det koste at hyre dig? Jeg er interesseret i ikke at dø. <i>&#8211; O'nia, stikker skygger</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Kuglelyn"
		"dac_ability_storm_spirit_ball_lightning_description"						"Vindens Ånd bliver til ustabil elektricitet og stormer hen over slagmarken, mens han giver {s:damage} skade til hver enhed, han passerer igennem, plus {s:damage_per_cell} skade pr. felt, som han har flyttet sig."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Egoisten motiveres af sit hjerte og ikke sit hoved. Han bliver den nemmeste at fange. <i>&#8211; Turath lægger en plan</i>"

		"dac_ability_storm_spirit_element"											"Vindelement"
		"dac_ability_storm_spirit_element_description"								"PASSIV: Når Vindens Ånd udfører et Deltatrick, afvæbner han de berørte fjendtlige enheder i 3 sekunder."
		"dac_ability_storm_spirit_element_lore"										"Vi behøver ikke at bekymre os om Den Stille. Hun holder sig langt væk fra stormen. <i>&#8211; Anessix ser tingene fra alle sider</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Knytnævekneb"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Ildens Ånd er fyr og flamme og løber rundt og angriber alle fjender inden for {s:cells} felter, hvorefter han vender tilbage til sin startposition. Angreb giver {s:bonus_damage} bonusskade."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Han slås som en dæmon, men han er hæderlig. Jeg stoler på hans ord. <i>&#8211; Jull værdsætter ære hos tyve</i>"

		"dac_ability_ember_spirit_element"											"Ildelement"
		"dac_ability_ember_spirit_element_description"								"PASSIV: Når Ildens Ånd udfører et Deltatrick, sætter han ild til de berørte fjendtlige enheder i 3 sekunder."
		"dac_ability_ember_spirit_element_lore"										"Jeg vil have ham her på lønningslisten. <i>&#8211; Hobgen har mødt en af samme sind</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Geomagnetisk Greb"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Earth Spirit summons a Stone Remnant off the map and pulls it towards his current target. Enemies struck by the incoming Stone Remnant are silenced for {s:silence_duration} seconds and take {s:damage} damage. At 3 stars, the enemies are also stunned for {s:stun_duration} seconds."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Jeg elsker, når Kaolin kommer til byen. Han graver de mest fascinerende ting frem. <i>&#8211; Carl leder efter forsyninger</i>"

		"dac_ability_earth_spirit_element"											"Jordelement"
		"dac_ability_earth_spirit_element_description"								"PASSIV: Når Jordens Ånd udfører et Deltatrick, undertrykker han de berørte fjendtlige enheder i 3 sekunder."
		"dac_ability_earth_spirit_element_lore"										"Hvad ville jeg ikke give for at se Wukong kæmpe mod ham i ringen... <i>&#8211; Grek, fantasy-bookmaker</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Pist Væk"
		"dac_ability_void_spirit_dissimilate_description"							"Tomrummets Ånd forsvinder og skaber 3 portaler. Efter {s:disappear_duration} sek. kommer han ud af en af portalerne og giver {s:bonus_damage} skade til fjender inden for {s:damage_distance} felt og reducerer deres rustning med {s:armor_reduction} i {s:armor_reduction_duration} sek."
		"dac_ability_void_spirit_dissimilate_lore"									"Man træder ikke frem fra sit skjul, uden at der er en god grund. Find ud af, hvorfor han er her. <i>&#8211; Anessix er på jagt efter en hemmelighed</i>"

		"dac_ability_void_spirit_element"											"Tomrumselement"
		"dac_ability_void_spirit_element_description"								"PASSIV: Når Tomrummets Ånd udfører et Deltatrick, afbryder han de berørte fjendtlige enheder i 3 sekunder."
		"dac_ability_void_spirit_element_lore"										"Træd varsomt i nærheden af den her, Slark. <i>&#8211; Et venligt råd fra Jull</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Spredehagl"
