"lang"
{ 
	"Language" "bulgarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Авт. атака"
		"dac_ability_ogre_magi_bloodlust_Description"							"Ogre Magi incites a frenzy in a friendly unit, increasing its movement speed by {s:bonus_movement_speed}% and attack speed by {s:bonus_attack_speed}%. If cast on Ogre Magi himself, the attack speed bonus is {s:self_bonus}% instead. Ogre Magi has a {s:multicast_chance}% chance to Multicast this ability to 2 targets."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Магът струват дваж по-скъпо от туй, що таксува. За щастие, магът също тъй е идиот. — <i>О'ния, пазаряща се за най-изгодната цена</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Подсилване"
		"dac_ability_magnataur_empower_Description"								"Магнус вбесява приятелска единица, предоставяйки ѝ +{s:bonus_damage_pct}% щети и {s:cleave_damage_pct}% разсичане за {s:duration} секунди."
		"dac_ability_magnataur_empower_Lore"									"Нека Анессикс да си мисли, че Енно ѝ ходи по свирката. Ще схване колко е в грешка няколко секунди, преди да бъде потъпкана до смърт. — <i>А Хобген демонстрира рядка проявява на търпение</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Семе пиявица"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector plants a life-sapping seed in an enemy unit, draining its health by {s:leech_damage} every {s:damage_interval} seconds, while simultaneously slowing its attack and movement speed by {s:movement_slow}%.<br><br>The seed heals friendly units up to {s:radius} cell away from the target, and at 3 stars gives them +{s:bonus_armor} Armor. Lasts {s:duration} seconds. Jumps to a new target within {s:radius} cell if the current target dies."
		"dac_ability_treant_leech_seed_Lore"									"Няма да лъжа, не очаквах Енно да получи помощ от дърво. — <i>Джул и Анессикс, които пият по питие</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Озаряване"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Пазителят на светлината призовава енергия, надграждаща мощта си при продължително изпълнение. Щом бъде отприщена, изпраща вълна, която нанася {s:damage_per_second} щети за всяка секунда изпълнение."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Пазителят е по-могъщ, отколкото дава да се разбере, ако остане необуздан ще докара кончината на всинца ни. — <i>Турат, унищожител на светлината</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Каменен взор"
		"dac_ability_medusa_stone_gaze_Description"								"Всяка вражеска единица на разстояние до {s:radius} клетки, гледаща към Медуза, ще получи забавяне на скоростта за движение и атака с {s:slow}%.<br><br>Ако се натрупат {s:face_duration} секунди гледане към Медуза, тази единица ще се вкамени.<br><br>Вцепенените единици биват зашеметени и поемат бонус {s:bonus_physical_damage}% физически щети."
		"dac_ability_medusa_stone_gaze_Lore"									"Моят тип дама е, но очите ми са привлечени само от Мирешка. — <i>Хобген, лудо влюбен престъпник</i>"

		"dac_ability_medusa_split_shot"											"Разцепващ изстрел"
		"dac_ability_medusa_split_shot_Description"								"PASSIVE: Medusa magically shoots up to {s:extra_shots} extra arrows, hitting additional targets within {s:range} cell of her primary target. The additional arrows deal {s:damage_modifier}% less damage."
		"dac_ability_medusa_split_shot_Lore"									"Виждали ли сте как тази дама стреля с лък? В смисъл, щом все още дишате вероятно не сте… — <i>Грек, хвали най-скорошната си наемница</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Разпаленост"
		"dac_ability_troll_warlord_fervor_Description"							"ПАСИВНО: Тролът военачалник сипе удари един подир друг, придобивайки {s:attack_speed}% бонус скорост на атака за натрупване.<br><br>Ако Тролът военачалник смени целта, натрупванията спадат до нула.<br><br>Този ефект може да се натрупа само до {s:max_stacks} пъти."
		"dac_ability_troll_warlord_fervor_Lore"									"Ефикасен и неумолим. Точно като мен. — <i>Хрисима, без напразно усилие</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Демонично пречистване"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Repeatedly purges the target enemy unit, removing positive buffs, applying Break, and slowing the target for {s:duration} seconds. The unit slowly regains its movement/attack speed until the end of the duration, upon which {s:damage} damage is dealt. At 3 stars, the unit loses {s:health_pct}% of its current health at the start, and gains half that back after the purge finishes if it survives."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Слушай сега, пухено копеле такова. Знам какво си мислиш, че можеш да работиш с Анессикс, но виждал ли си хората, с които тя лудува? — <i>Хобген, който не е почитател на демони (нито пък на Енно)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Great Cleave"
		"dac_ability_sven_cleave_Description"									"PASSIVE: This unit's melee attacks strike nearby enemies for {s:cleave_damage_pct}%."
		"dac_ability_sven_cleave_Lore"											"Някога виждали ли сте бдящ рицар във вихъра си? Ето това е нещо красиво. — <i>Грек, боен познавач</i>"

		"dac_ability_sven_gods_strength"										"Божията сила"
		"dac_ability_sven_gods_strength_Description"							"Свен се вбесява и придобива {s:bonus_damage_from_cast}% щети за {s:duration} секунди."
		"dac_ability_sven_gods_strength_Lore"									"Няма нищо, което да обичам повече от човек, адски отдаден на отмъщението — <i>Анессикс преценява Свен</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Whirling Death"
		"dac_ability_timbersaw_whirling_death_Description"						"Острите ръбове по бронирания костюм на Дърворезача се завихрят, нараняват враговете на разстояние до {s:radius} клетки за {s:damage} щети."
		"dac_ability_timbersaw_whirling_death_Lore"								"Досетих се, че Енно ще извика всичките си горски приятели. Ето защо и аз се обадих тук-там. — <i>Хобген се заема с решаването на проблеми</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"Моржов УДАР С ЮМРУК!"
		"dac_ability_tusk_walrus_punch_Description"								"Tusk connects with his mighty Walrus Punch, a critical strike that deals {s:critical_damage}% damage and launches its victim into the air for {s:air_time} second(s). Upon landing, the victim is slowed by {s:move_slow}% for {s:slow_duration} seconds and loses {s:attack_slow} Attack Speed. Tusk cannot be killed while punching."
		"dac_ability_tusk_walrus_punch_Lore"									"Беше ми приятел някога. Съвсем скоро ще разберем дали е тук да ми помогне или да ме фрасне с юмрук. — <i>А Джул размишлява над своята младост</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Сумрачният щит"
		"dac_ability_abaddon_aphotic_shield_Description"						"Абадон защитава приятелска единица с щит, който абсорбира {s:damage_absorb} щети за {s:duration} секунди.<br><br>Когато е унищожен, щитът се разпръсва и нанася {s:damage_absorb} щети върху враговете на разстояние до {s:radius} клетки.<br><br>Премахва определени типове отрицателни бъфове и зашеметявания при изпълнение."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Имам голямо уважение към династията Авернус. — <i>О'ния, разполагаща с дворцовата благосклонност</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Metamorphosis"
		"dac_ability_terrorblade_metamorph_Description"							"Острието на терора се превръща в могъщ демон, придобиващ далекобойна атака до {s:bonus_attack_range} клетки, {s:bonus_attack_damage} бонус щети, както и {s:bonus_attack_speed} скорост на атака. Също така Острието на терора разменя стойностите за здраве с друг съюзник, когато това умение стартира."
		"dac_ability_terrorblade_metamorph_Lore"								"Когато видите, че говори с Анессикс, знаете, че предстои да се случи нещо лошо. — <i>Джул, хорски наблюдател</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Remote Mines"
		"dac_ability_techies_bomb_Description"									"Шайката поставя невидим експлозив, който се детонира след {s:explode_time} секунди и нанася {s:damage} щети върху цели на разстояние {s:range} клетки.<br><br>Нанася преполовени щети на врагове, които са на половината разстояние."
		"dac_ability_techies_bomb_Lore"											"Говорете каквото щете относно кийн фолк, но винаги знаят как да те развеселят. — <i>Хобген, гледайки показно разрушение</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Статична буря"
		"dac_ability_disruptor_static_storm_Description"						"Разрушителният създава „Статична буря“, която нанася щети и заглушава всички вражески единици на разстояние до {s:radius} клетки от центъра за {s:duration} секунди.<br><br>Щетите първоначално са слаби, но набират мощност, нанасяйки общо {s:damage_total} за времетраенето на бурята."
		"dac_ability_disruptor_static_storm_Lore"								"Не съм сигурна дали действително е тук, за да ми помогне или просто иска да наглежда Брадваря. — <i>Врен, командваща на колоритна шайка</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Пречистване"
		"dac_ability_omniknight_purification_Description"						"Всеведущият рицар незабавно лекува приятелска единица с {s:heal} и нанася щети по всички близки вражески единици на разстояние {s:radius} клетка."
		"dac_ability_omniknight_purification_Lore"								"Борави с вярата сякаш е оръжие… както и аз. — <i>Турат, налудничав спасител</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Кука за месо"
		"dac_ability_pudge_meathook_Description"								"Дундьо изстрелва кървава кука към своя най-далечен враг, издърпвайки жертвата обратно, нанасяйки ѝ {s:damage} щети.<br><br>Дундьо и съюзниците на разстояние 1 клетка ще насочат своите атаки към целта, докато умре."
		"dac_ability_pudge_meathook_Lore"										"Дундьо? О, той е просто елегантно надут. Винаги ме поздравява, когато ощавям телата. — <i>Карл, немъртъв шивач</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Сенчест свят"
		"dac_ability_warlock_shadow_word_Description"							"Вещерът прошепва заклинание, незабавно възстановявайки {s:burst_tooltip} здраве на приятелска единица и увеличава възстановяването му с {s:hot_tooltip} в продължение на {s:duration} секунди или нанасящо {s:damage_tick} щети върху вражеска единица всяка секунда в продължение на {s:duration} сек."
		"dac_ability_warlock_shadow_word_Lore"									"Някои тайни са предназначени да бъдат пазени… Демнок ще плати за липсата си на дискретност. — <i>Анессикс, отбиваща време</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Кървава ярост"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIVE: As Bloodseeker's enemy's health drops, he gains attack speed, up to a maximum of {s:attack_speed_bonus_max} at {s:min_health_pct}% health.<br><br>Whenever Bloodseeker kills a target, he regains {s:heal_pct}% of their max health. At 3 stars, this occurs when any enemy dies within {s:radius} cell of Bloodseeker."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Ако съм научил едно нещо през кариерата си, то е, че хорицата обичат кръв. Намете този човек. — <i>Грек, решителен поощрител</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Бушуващ двойник"
		"dac_ability_arc_warden_tempest_double_Description"						"Бранителят на волтовата дъга създава свое копие с идентично здраве на това, с което разполага настоящем.<br><br>Дубликатът може да използва всички текущи предмети на Бранителя на волтовата дъга и ще опитва да атакува същия враг като него. Клонингите не могат да атакуват други такива и нанасят {s:clone_dmg_reduction}% по-малко щети."
		"dac_ability_arc_warden_tempest_double_Lore"							"В себе си той носи тайните на сътворението. — <i>Турат, потаен пророк</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double_no_items"						"Tempest Double"
		"dac_ability_arc_warden_tempest_double_no_items_Description"			"Arc Warden creates a copy of himself with the same health he currently has. Clones do {s:clone_dmg_reduction}% less damage, and gain {s:clone_mana_pct_loss_per}% less mana per clone (stacks multiplicatively). At 3 stars, the clone copies Arc Warden's item as well."
		"dac_ability_arc_warden_tempest_double_no_items_Lore"					"He brings with him the mysteries of creation. - <i>Turath, Cryptic Prophet</i>"

		//MIRANA
		"dac_ability_mirana_arrow"												"Свещена стрела"
		"dac_ability_mirana_arrow_Description"									"Мирана изстрелва далекобойна стрела със смъртоносна точност, зашеметяваща своята цел за {s:duration} секунди и нанасяйки {s:damage} щети."
		"dac_ability_mirana_arrow_Lore"											"Никога не се доверявай на фанатичен последовател, Врен. Не си струва. — <i>Джул дава приятелски съвет</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Изместване на есенция"
		"dac_ability_slark_essence_shift_description"							"PASSIVE: Slark increases his damage by {s:stolen_dmg} and his attack speed by {s:stolen_aspd} with each attack."
		"dac_ability_slark_essence_shift_lore"									"Сларк е от съществено значение за пренасянето на продукта ни в и извън Мрачния риф. — <i>Джул, самоиздигнал се човек</i>"

		"dac_ability_slark_pounce"												"Нахвърляне"
		"dac_ability_slark_pounce_description"									"ПАСИВНО: Когато се приземи след скок, Сларк обезоръжава своята цел за {s:disarm_duration} секунди."
		"dac_ability_slark_pounce_lore"											"Как ни спипа неподготвени отново!? — <i>Хобген, кибритлия</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Косвена атака"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIVE: Black Dragon's ranged attack deals {s:splash_damage_percent}% splash damage to units {s:splash_radius} cell away of the Dragon's target."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Знаменито разсичане"
		"dac_ability_sven_great_cleave_description"								"ПАСИВНО: Ръкопашните атаки на тази единица нападат враговете наблизо."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Имунитет срещу заклинания"
		"dac_ability_roshan_spell_immune_description"							"АКТИВНО: Рошан придобива имунитет срещу заклинания за {s:duration} секунди."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Вплитащи нокти"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"Spirit Bear's attacks have a chance to entangle the target, rooting and disarming them."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Bloodlust"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Създанието подбужда яростта на съюзническа единица, увеличавайки скоростта ѝ на движение с {s:bonus_movement_speed}%, а тази на атаката с {s:bonus_attack_speed}%. Ако се изпълни върху самия него самото, вместо това бонус скоростта на атаката е {s:self_bonus}%."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Лечебна аура"
		"dac_ability_healing_ward_healing_aura_description"								"Лекува приятелските единици в рамките на {s:heal_range} клетка за {s:health_regen} здр./сек."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Призоваване на зомбита"
		"dac_ability_tombstone_raise_zombies_description"							"Единиците, които умират в рамките на {s:range} клетка, призовават зомби."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Barricade"
		"dac_ability_barricade_aura_description"							"Барикадата защитава единиците наблизо и има имунитет срещу заклинания."
		"dac_ability_barricade_aura_rot1"										"Barricade"
		"dac_ability_barricade_aura_rot1_description"							"Barricade protects nearby units and is immune to spells."

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Taunt"
		"dac_ability_target_dummy_taunt_description"							"Целева дружка се присмива."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Cinderwall"
		"dac_ability_cinderwall_aura_description"							"Овъглената стена защитава единиците наблизо и има имунитет срещу заклинания. Възпламенява единиците наблизо."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Хронокуб"
		"dac_ability_faceless_void_chronocube_description"							"Създава мехур във време-пространството, поставяйки в клопка всички единици, хванати на разстояние {s:radius} клетки от центъра на куба за {s:stun_duration} сек. Безличната празнота се движи много бързо в куба и придобива {s:bonus_attack_speed} скорост на атака. Само Безличната празнота остава незасегнат. Когато се изпълни, Безличната празнота опитва да телепортира всички приятелски убийци извън куба."
		"dac_ability_faceless_void_chronocube_lore"									"Класзурем ще се намеси. Това може да е проблем. — <i>А Джул осъзнава, че не можете удари времето с юмрук</i>"

		"dac_ability_faceless_void_time_walk"										"Времево бродене"
		"dac_ability_faceless_void_time_walk_description"							"ПАСИВНО: Безличната празнота се втурва към следващата си цел, лекувайки всички поети щети през последните 2 сек."
		"dac_ability_faceless_void_time_walk_lore"									"О, моля те… Не бих докоснал дори един от тези проклети пясъчни часовници! Да не си мислиш, че искам Пиерпонт да нюха наоколо? — <i>Хобген, разумния маниак</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Дуел"
		"dac_ability_legion_commander_duel_description"								"Legion Commander targets the lowest health enemy 1 cell away and they are forced to attack each other for {s:stun_duration}s. Neither hero can use abilities or be healed. If either hero dies during the duration, the hero winning the Duel gains permanent {s:winner_bonus_damage_kill_mult} bonus damage. (Damage varies by game mode.)"
		"dac_ability_legion_commander_duel_lore"									"Няма нужда от стойки и чалъми, Тресдин… Мога да ти помогна да намериш Рикс. — <i>Анессикс, хладнокръвна под напрежение</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Волята на биковата змия"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>ОТКЛЮЧЕНО ОТ ДРАКОНОВ СЪЮЗ</i><br>ПАСИВНО: Когато Легионерският командир спечели двубой, тя незабавно се лекува за {s:heal_percentage}% от максималното ѝ здраве."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Знам го твоя вид, командире, а ти си едно от най-опасните създания сред всички. Вярваща. — <i>Врен, учаща се от света</i>"

		"dac_ability_legion_commander_element"										"Стихиен щурм"
		"dac_ability_legion_commander_element_description"							"ПАСИВНО: Когато Легионерският командир извършва „Делта затръшване“ като част от духовния съюз, тя нанася удвоени щети."
		"dac_ability_legion_commander_element_lore"									"Повечето войници биват спохождани от духове… А тя ги предвожда. — <i>Джул, която разпознава празния втренчен поглед при видение, щом го види</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Шипеста черупка"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Убиецът Никс измъква шипове от своята черупка, отразявайки и обезсилвайки {s:damage_taken_reflect_percentage}% от нанесените му щети (макс. веднъж от всеки източник), като също така зашеметява техния източник за {s:stun_duration} сек."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Правилната дума е членестоного. — <i>Хрисима, отделяща внимание на подробностите</i>"

		"dac_ability_nyx_assassin_vendetta"											"Вендета"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIVE: After teleporting to attack a unit, Nyx Assassin deals {s:bonus_damage} bonus damage on his next attack and applies Break to the enemy for {s:break_duration}s, disabling all passive effects. At 3 stars, Nyx Assassin also applies Vendetta after {s:hits_to_trigger} successive attacks. The counter is reset if Vendetta triggers due to teleporting."
		"dac_ability_nyx_assassin_vendetta_lore"									"Насекомо. Членостоного. На кого му пука? Важното е, че е нужно той да убие някого! Можеш ли да се свържеш с него или не? — <i>О'ния, не е почитателка на това да бъде поставяна в трудно положение</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Шукучи"
		"dac_ability_weaver_shukuchi_description"									"Weaver shifts out of visibility, becoming untargetable and quickly moving through a target up to {s:distance_cells} cells away. Weaver deals {s:damage} damage to each enemy it passes through. For {s:mana_break_duration} seconds afterwards, Weaver's attacks burn {s:mana_per_hit} Mana doing {s:damage_per_burn} damage per Mana burnt."
		"dac_ability_weaver_shukuchi_lore"											"Тъкач. Заедно ще преобразим света. — <i>Турат, достатъчно луд да го стори</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Излюпване на паячета"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Майката на люпилото инжектира неизлюпени паячета в дадена вражеска единица, нанасяйки {s:damage} щети. Ако целта е убита, ще се излюпят {s:num_spiderlings} паячета. Те са единици, неподлежащи на прицелване, които нанасят малки щети и разполагат с 1 здраве."
		"dac_ability_broodmother_spawn_spiderlings_lore"							"Look I may burn people alive, but at least I'm not hatching eggs in people... - <i>In which Hobgen equivocates"

		"dac_ability_broodmother_spin_web"											"Изплитане на паяжина"
		"dac_ability_broodmother_spin_web_description"								"Майката на люпилото изплита паяжина, широка {s:radius} клетки, върху дадена вражеска единица. Враговете в паяжината губят {s:debuff_attack_speed} скорост за атака, {s:debuff_speed}% скорост за движение и {s:debuff_casting_speed}% скорост за изпълняване на заклинания."
		"dac_ability_broodmother_spin_web_lore"										"Предполагам, че не бих могъл да наема Вас хлапаци, за да ми изплетете малко коприна? Убеден съм, че паяците не са под закрилата на законите за детския труд. — <i>Карл, етичен шивач</i>"

		// WISP
		"dac_ability_wisp_tether"													"Обвързване"
		"dac_ability_wisp_tether_description"										"Йо се обвързва към най-близкия съюзнически герой и се издърпва към него. Йо и обвързаният герой придобиват {s:bonus_attack_speed} скорост на атака и {s:damage_reduction}% намаляване на щетите. Обвързването ще се пречупи, ако Йо е на разстояние, повече от {s:tether_break_distance} клетки."
		"dac_ability_wisp_tether_lore"												"<i>In which Enno stares at Io intently</i>"

		"dac_ability_wisp_relocate"													"Преместване"
		"dac_ability_wisp_relocate_description"										"Io teleports away for {s:relocate_time_away} seconds to revive a dead hero. The two units return with full health and are purged of negative effects. At 3 stars, Io also resets that hero's cooldowns."
		"dac_ability_wisp_relocate_lore"											"<i>А Йо отвръща на взирането</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Разпръскване на бодли"
		"dac_ability_bristleback_quill_spray_description"							"Шипогръбестият разпръсква бодли от гърба си, нанасяйки щети на вражеските единици на разстояние {s:radius} клетки. Враговете поемат {s:quill_base_damage} щети. Това става редом с допълнителни {s:quill_stack_damage} щети за всяко натрупване на „Разпръскване на бодли“, с което са били ударени през този рунд. Това става до максимум от {s:max_stacks} натрупвания."
		"dac_ability_bristleback_quill_spray_lore"									"Нека нещо да Ви стане болезнено ясно. Вие с Бивника няма да ми потрошите бара тази вечер. — <i>Джул, охладител на страстите</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Пиршество"
		"dac_ability_life_stealer_feast_description"								"PASSIVE: Lifestealer's attacks damage enemies and heal himself for {s:lifesteal_percentage}% of his target's max health."
		"dac_ability_life_stealer_feast_lore"										"Не оценявам, правенето на предположения, че поради състоянието ми незабавно знам местонахождението на Крадеца на животи. — <i>Карл, често подценяван</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Сенчеста вълна"
		"dac_ability_dazzle_shadow_wave_description"								"Поразителният изстрелва мощна мълния, която създава арки между съюзници (до макс. от {s:max_targets}), които са на разстояние {s:bounce_radius} клетки. Всяка съюзническа единица се лекува за {s:damage}, докато същевременно с това нанася щети на всякакви вражески единици на разстояние {s:damage_radius} клетки за {s:damage}. Поразителният винаги се лекува от „Сенчеста вълна“."
		"dac_ability_dazzle_shadow_wave_lore"										"И колко би струвало да запазя услугите ти? Имам интерес да не умирам. — <i>О'ния, сражаваща се в сенките</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Ball Lightning"
		"dac_ability_storm_spirit_ball_lightning_description"						"Storm Spirit becomes volatile electricity, charging across the battlefield and dealing {s:damage} damage to each unit he passes through, plus {s:damage_per_cell} damage per cell he has traveled."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Егоистът е мотивиран от сърцето си, а не главата. Той може най-лесно да попадне в капан.— <i>А Турат крои коварен план</i>"

		"dac_ability_storm_spirit_element"											"Storm Elemental"
		"dac_ability_storm_spirit_element_description"								"PASSIVE: When Storm Spirit executes a Delta Slam, he disarms affected enemy units."
		"dac_ability_storm_spirit_element_lore"										"Не е нужно да се тревожим за Хрисима, тя няма да иска да е близо до бурята. — <i>А Анессикс обмисля всички варианти</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Изкуството на юмрука"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Ember Spirit притичва наоколо със светкавична скорост, атакувайки всички врагове в рамките на {s:cells} клетки, след което се връща към първоначалното си местоположение. Атаките нанасят {s:bonus_damage} бонус щети."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"He may fight like a demon, but he is a creature of honor.  His word is good enough for me. - <i>Jull, Honor Amongst Thieves</i>"

		"dac_ability_ember_spirit_element"											"Стихиен огън"
		"dac_ability_ember_spirit_element_description"								"PASSIVE: When Ember Spirit executes a Delta Slam, he sets affected enemy units on fire."
		"dac_ability_ember_spirit_element_lore"										"Искам този тип да работи за мен. — <i>Хобген, играчът разпознава себеподобните</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Гео магнетичен захват"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Earth Spirit summons a Stone Remnant off the map and pulls it towards his current target. Enemies struck by the incoming Stone Remnant are silenced for {s:silence_duration} seconds and take {s:damage} damage. At 3 stars, the enemies are also stunned for {s:stun_duration} seconds."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Обожаван, когато Каолин навестява града. Винаги изравя най-увлекателните неща. — <i>Карл, търсещ провизии</i>"

		"dac_ability_earth_spirit_element"											"Стихийна земя"
		"dac_ability_earth_spirit_element_description"								"PASSIVE: When Earth Spirit executes a Delta Slam, he silences affected enemy units."
		"dac_ability_earth_spirit_element_lore"										"Какво не бих дал, за да видя как Сън Ву Конг се сражава с този тип на ринга… — <i>Грек, въображаем букмейкър</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Преструвка"
		"dac_ability_void_spirit_dissimilate_description"							"Духът на празнотата влиза в етера, изчезвайки и създавайки 3 портала. След {s:disappear_duration} сек. излиза от един портал и нанася {s:bonus_damage} щети на враговете в рамките на {s:damage_distance} клетки, намалявайки бронята им с {s:armor_reduction} за {s:armor_reduction_duration} секунди."
		"dac_ability_void_spirit_dissimilate_lore"									"You don't come out of hiding without a good reason.  Find out why he's here.  - <i>Anessix, Searching For a Secret</i>"

		"dac_ability_void_spirit_element"											"Стихийна празнота"
		"dac_ability_void_spirit_element_description"								"PASSIVE: When Void Spirit executes a Delta Slam, he breaks affected enemy units."
		"dac_ability_void_spirit_element_lore"										"Пристъпвай внимателно около този, Сларк. — <i>Джул дава приятелски съвет</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Довереното разпръскващо отломки пушкало"
		"dac_ability_granny_lizard_shotgun_blast_description"						"After 4 basic attacks Snapfire readies her shotgun, blasting a nearby enemy for {s:blast_damage} in a cone and slowing the attack of affected units by {s:blast_bonus_attack_speed}. The effect lasts {s:debuff_duration} seconds. At 3 stars, affected units also lose {s:blast_armor_loss} armor."
		"dac_ability_granny_lizard_shotgun_blast_lore"								"Кийнфолк винаги са имали увлекателен ум за водене на военното дело. А войната е моят специфичен занаят. Може би има търговия, която може да се завърти. — <i>Хрисима, ангелска инвеститорка</i>"

		"dac_ability_granny_lizard_bazooka"											"Целувки от Мортимър"
		"dac_ability_granny_lizard_bazooka_description"								"<i>UNLOCKED BY THE DRAGON ALLIANCE</i>: Mortimer spits {s:projectile_count} globs at enemies. Each glob deals {s:damage} damage to all enemies within {s:impact_radius} cell of the impact and lights them on fire for {s:burn_duration} seconds. They also lose {s:attack_slow} Attack Speed for {s:attack_slow_duration} seconds."
		"dac_ability_granny_lizard_bazooka_lore"									"Какво? Искаш да кажеш на тази дама, че това не е дракон? — <i>Грек, който не е заинтересован от автентичността</i>"

		// MANGO TREE
		"dac_ability_mango_tree_mango_throw"										"Mango Throw"
		"dac_ability_mango_tree_mango_throw_description"							"At the start of combat and every {s:mango_production_interval} seconds afterwards, the Mango Tree throws a mango up to {s:radius} cells away. Any unit that touches a mango eats it to gain 50 mana and 100 health."
		"dac_ability_mango_tree_mango_throw_lore"									"Don't look at me like that, it's just fruit - <i>In which Anessix desperately fights against stereotypes</i>"

		// UNDERLORDS

		"dac_ability_underlord_scales"												"Мащабира се с подземния лорд"

