"lang"
{ 
	"Language" "finnish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Autoattack"
		"dac_ability_magnataur_empower_Lore"									"Anna Anessixen luulla, että se voi pyörittää Ennoa. Anessix huomaa kyllä muutamassa sekunnissa olleensa väärässä, kun se tallotaan kuoliaaksi. –<i>Hobgen näyttää harvinaisen vilauksen kärsivällisyydestään</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Leech Seed"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector istuttaa elinvoimaa imevän siemenen viholliseen. Se tuhoaa {s:leech_damage} vihollisen terveyttä joka {s:damage_interval} sekunnin välein ja hidastaa vihollisen hyökkäys- ja liikenopeutta {s:movement_slow} %.<br><br>Siemen parantaa liittolaiset {s:radius} ruudun säteellä kohteesta. Kesto: {s:duration} sekuntia, ja kohteen kuollessa se hyppää uuteen kohteeseen {s:radius} ruudun säteellä."
		"dac_ability_treant_leech_seed_Lore"									"Pakko myöntää. En olisi uskonut Ennon pyytävän puuta apuun.– <i>Jull ja Anessix käyvät paukulla</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Illuminate"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Keeper of Light kanavoi energiaa, jonka voima kasvaa kanavoinnin edetessä. Kun energia vapautetaan, se hyökyy eteenpäin aaltona, joka tekee {s:damage_per_second} vahinkoa sekunnissa."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Keeper on mahtavampi kuin antaa olettaa. Tästä seuraa tuhoa, jos sitä ei panna aisoihin. – <i>Turath, valon sammuttaja</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Stone Gaze"
		"dac_ability_medusa_stone_gaze_Description"								"Vihollisen liike- ja hyökkäysnopeus hidastuu {s:slow} %, kun se katsoo Medusaa jopa {s:radius} ruudun päästä.<br><br>Jos vihollinen katsoo Medusaa yhteensä {s:face_duration} sekuntia, se kivettyy.<br><br>Kivettyneet viholliset ovat tainnoksissa ja ottavat {s:bonus_physical_damage} % fyysistä lisävahinkoa."
		"dac_ability_medusa_stone_gaze_Lore"									"Minun tyyppiäni, mutta minä haluan Mireskan. – <i>Hobgen, rakastunut roisto</i>"

		"dac_ability_medusa_split_shot"											"Split Shot"
		"dac_ability_medusa_split_shot_Description"								"PASSIIVINEN: Medusa ampuu enintään {s:extra_shots} lisänuolta ja osuu ensisijaisen kohteensa lisäksi {s:range} ruudun päässä sijaitseviin lisäkohteisiin. Ylimääräiset nuolet tekevät {s:damage_modifier} % alkuperäisten nuolten vahingosta."
		"dac_ability_medusa_split_shot_Lore"									"Oletko nähnyt valtiattaren ampuvan jousipyssyllä? Sinulla näyttää henki vielä kulkevan, joten et liene ole... <i>Grek puhuu viimeisimmästä rekrytoinnistaan</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Fervor"
		"dac_ability_troll_warlord_fervor_Description"							"PASSIIVINEN: Troll Warlord nuijii isku iskun jälkeen, ja saa {s:attack_speed} % lisää hyökkäysnopeutta.<br><br>Jos peikko vaihtaa kohdettaan, se menettää hyökkäysnopeutensa.<br><br>Tehosteet voi laskea yhteen enintään {s:max_stacks} kertaa."
		"dac_ability_troll_warlord_fervor_Lore"									"Aikaansaava ja armoton, kuten minä. – <i>Quiet, ei turhaa huhkintaa</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Demonic Purge"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Poistaa toistuvasti viholliselta vahvistukset, käyttää murtamista ja hidastaa kohdetta {s:duration} sekunniksi. Yksikön liike-/hyökkäysnopeus palautuu hitaasti keston ajan, minkä lopuksi se tekee {s:damage} vahinkoa."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Kuulepas nyt karvainen ryökäle. Luulet voivasi työskennellä Anessixen kanssa, mutta oletko nähnyt sitä väkeä, jonka kanssa se hengailee? <i>Hobgen, joka ei ole demonien (tai Ennon) fani</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Great Cleave"
		"dac_ability_sven_cleave_Description"									"PASSIIVINEN: lähitaisteluhyökkäykset osuvat lähellä oleviin vihollisiin {s:cleave_damage_pct} % vahingolla."
		"dac_ability_sven_cleave_Lore"											"Oletko koskaan nähnyt vartioritaria taistelemassa? Se on niin kaunista. – <i>Grek, taistelutuntija</i>"

		"dac_ability_sven_gods_strength"										"God's Strength"
		"dac_ability_sven_gods_strength_Description"							"Sven vihastuu ja saa {s:bonus_damage_from_cast} % vahinkoa {s:duration} sekunnin ajan."
		"dac_ability_sven_gods_strength_Lore"									"En pidä mistään enempää kuin miehestä, joka on jääräpäisesti keskittynyt kostoonsa. –<i>Anessix arvioi Sveniä</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Whirling Death"
		"dac_ability_timbersaw_whirling_death_Description"						"Timbersaw'n panssarin terävät kärjet pyörivät ja aiheuttavat vihollisille {s:damage} vahinkoa {s:radius} ruudun säteellä."
		"dac_ability_timbersaw_whirling_death_Lore"								"Aavistin, että Enno kutsuu apuun metsäkamunsa, joten minäkin pyysin apua. – <i>Hobgen ryhtyy ratkomaan ongelmia</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"Walrus PUNCH!"
		"dac_ability_tusk_walrus_punch_Description"								"Tusk täräyttää mahtavan mursulyönnin. Se on niin voimakas, että se tekee {s:critical_damage} % vahinkoa ja lennättää uhrin ilmaan {s:air_time} sekunniksi. Uhri hidastuu {s:move_slow} % {s:slow_duration} sekunniksi, kun se putoaa maahan. Lyönnin aikaan Tuskia ei voi tappaa."
		"dac_ability_tusk_walrus_punch_Lore"									"Olimme kerran kavereita. Kohta nähdään, tuliko hän auttamaan vai lyömään. – <i>Jull muistelee nuoruuttaan</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Aphotic Shield"
		"dac_ability_abaddon_aphotic_shield_Description"						"Abaddon suojelee liittolaista kilvellä ja imee {s:damage_absorb} vahinkoa {s:duration} sekunnin ajan.<br><br>Kun kilpi tuhotaan, se räjähtää ja tekee {s:damage_absorb} vahinkoa vihollisille jopa {s:radius} ruudun säteellä.<br><br>Tietyt heikennykset ja tainnutukset poistetaan."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Arvostan kovasti Avernuksen sukua. – <i>O'nia mielistelee palveluksen toiveessa</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Metamorphosis"
		"dac_ability_terrorblade_metamorph_Description"							"Terrorblade muuttuu vahvaksi demoniksi ja saa {s:bonus_attack_range} ruudun kaukohyökkäyksen, {s:bonus_attack_damage} lisävahinkoa ja {s:bonus_attack_speed} hyökkäysnopeutta. Terrorblade vaihtaa terveyttä liittolaisen kanssa kyvyn käynnistyessä."
		"dac_ability_terrorblade_metamorph_Lore"								"Kun tuo juttelee Anessixin kanssa, tiedossa on jotain pahaa. – <i>Jull, tarkkailija</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Remote Mines"
		"dac_ability_techies_bomb_Description"									"Jengi asentaa pommin, joka räjähtää {s:explode_time} sekunnin päästä ja tekee {s:damage} vahinkoa {s:range} ruudun säteellä.<br><br>Tekee puolikkaan vahinkoa vihollisille, jotka ovat puolimatkassa."
		"dac_ability_techies_bomb_Lore"											"Sano mitä sanot, mutta keenit osaavat kyllä hauskuttaa. – <i>Hobgen seuraa romutusta</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Static Storm"
		"dac_ability_disruptor_static_storm_Description"						"Disruptor luo tuhoisan, staattisen myrskyn, joka hiljentää kaikki viholliset {s:duration} sekunnin ajaksi jopa {s:radius} ruudun päästä keskustasta.<br><br>Vahinko alkaa heikkona mutta voimistuu tehden {s:damage_total} vahinkoa myrskyn keston ajan."
		"dac_ability_disruptor_static_storm_Lore"								"En tiedä, tuliko hän auttamaan vai vahtimaan Axea. – <i>Wren, sekalaisen sakin johtaja</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Purification"
		"dac_ability_omniknight_purification_Description"						"Omniknight parantaa liittolaisen välittömästi {s:heal} pisteellä ja vahingoittaa kaikkia vihollisia {s:radius} ruudun säteellä."
		"dac_ability_omniknight_purification_Lore"								"Hän käyttää uskoa aseenaan, kuten minäkin. – <i>Turath, harhainen pelastaja</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Meat Hook"
		"dac_ability_pudge_meathook_Description"								"Pudge linkoaa verisen koukun kohti kauinta vihollista, vetää sen takaisin ja tekee {s:damage} vahinkoa.<br><br>Pudge ja yhden ruudun säteellä olevat liittolaiset keskittävät iskunsa uhriin, kunnes se kuolee."
		"dac_ability_pudge_meathook_Lore"										"Pudge on mahtava. Tervehtii aina, kun parkitsen ruumiita. – <i>Carl, kuolematon vaatturi</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Shadow Word"
		"dac_ability_warlock_shadow_word_Description"							"Warlock kuiskaa loitsun, joka antaa liittolaiselle {s:burst_tooltip} terveyttä heti ja {s:hot_tooltip} sekuntia kohti {s:duration} sekunnin ajan tai aiheuttaa viholliselle {s:damage_tick} vahinkoa joka sekunti {s:duration} sekunnin ajan."
		"dac_ability_warlock_shadow_word_Lore"									"Joitain salaisuuksia ei paljasteta. Demnok saa vielä maksaa lörpöttelystään. – <i>Anessix odottaa tilaisuuttaan</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Bloodrage"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIIVINEN: Bloodseeker ottaa vahinkoa joka sekunti joka vastaa {s:self_dmg_pct} % sen enimmäisterveydestä.<br><br>Menettäessään terveyttä se saa jopa {s:attack_speed_bonus_max} % lisähyökkäysnopeutta {s:min_health_pct} % terveydellä.<br><br>Kun viereinen vihollinen kuolee, se saa {s:heal_pct} % enimmäisterveydestään takaisin."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Jos minä jotain olen urallani oppinut, niin sen, että kansa janoaa verta. Palkkaa hänet. – <i>Grek, päättäväinen promoottori</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Tempest Double"
		"dac_ability_arc_warden_tempest_double_Description"						"Arc Warden luo itsestään kopion senhetkisellä terveydellään.<br><br>Kopio voi käyttää kaikkia Arc Wardenin nykyisiä esineitä ja yrittää hyökätä kutsujansa tavoin saman vihollisen kimppuun. Kloonit eivät pysty luomaan klooneja ja ne tekevät {s:clone_dmg_reduction} % vähemmän vahinkoa."
		"dac_ability_arc_warden_tempest_double_Lore"							"Hän tuo mukanaan luomisen ihmeet. – <i>Turath, kryptinen profeetta</i>"
		
		//MIRANA
		"dac_ability_mirana_arrow"												"Sacred Arrow"
		"dac_ability_mirana_arrow_Description"									"Mirana ampuu tappavalla tarkkuudella pitkän kantaman nuolen, joka tainnuttaa kohteen {s:duration} sekunniksi ja tekee {s:damage} vahinkoa."
		"dac_ability_mirana_arrow_Lore"											"Kiihkoilijoihin ei kannata ikinä luottaa, Wren. – <i>Jull jakelee ystävällisiä neuvoja</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Essence Shift"
		"dac_ability_slark_essence_shift_description"							"PASSIIVINEN: Slark kasvattaa vahinkoaan {s:stolen_dmg} yksiköllä ja hyökkäysnopeuttaan {s:stolen_aspd} yksiköllä jokaista hyökkäystä kohti."
		"dac_ability_slark_essence_shift_lore"									"Slarkilla on avainrooli Pimeän riutan tavaran toimittamisessa. – <i>Jull, oman elämänsä sankari</i>"

		"dac_ability_slark_pounce"												"Pounce"
		"dac_ability_slark_pounce_description"									"PASSIIVINEN: Slark laskeutuu hypystään ja riisuu kohteensa aseista {s:disarm_duration} sekunniksi."
		"dac_ability_slark_pounce_lore"											"Kuinka hän sai meidät jälleen estettyä? – <i>Hobgen, tulisielu</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Splash Attack"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIIVINEN: Mustan lohikäärmeen kaukohyökkäys tekee aluevahinkoa yhden ruudun säteellä kohteesta oleville yksiköille."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Great Cleave"
		"dac_ability_sven_great_cleave_description"								"PASSIIVINEN: lähitaisteluhyökkäykset osuvat lähellä oleviin vihollisiin."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Spell Immune"
		"dac_ability_roshan_spell_immune_description"							"AKTIIVINEN: Roshanista tulee loitsuimmuuni {s:duration} sekunniksi."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Entangling Claws"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"Spirit Bearin hyökkäyksillä voi kietoa ja tainnuttaa kohteen."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Bloodlust"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Olento yllyttää liittolaisen kiihkoon siten, että sen liikenopeus kasvaa {s:bonus_movement_speed} % ja hyökkäysnopeus lisääntyy {s:bonus_attack_speed} %. Jos loitsu osuu omaan nilkkaan, hyökkäysnopeusbonus on sen sijaan {s:self_bonus} %."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Healing Aura"
		"dac_ability_healing_ward_healing_aura_description"								"Parantaa liittolaiset {s:heal_range} ruudun sisällä {s:health_regen} terveydellä sekunnissa."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Raise Zombies"
		"dac_ability_tombstone_raise_zombies_description"							"{s:range} ruudun sisällä kuolevat yksiköt kutsuvat zombin."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Barricade"
		"dac_ability_barricade_aura_description"							"Barricade suojelee lähellä olevia yksiköitä ja on loitsuimmuuni."
		"dac_ability_barricade_aura_lore"									""

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Taunt"
		"dac_ability_target_dummy_taunt_description"							"Target Buddy pilkkaa."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Cinderwall"
		"dac_ability_cinderwall_aura_description"							"Cinderwall suojelee lähellä olevia yksiköitä ja on immuuni loitsuille. Se sytyttää lähellä olevia yksiköitä palamaan."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Chronocube"
		"dac_ability_faceless_void_chronocube_description"							"Luo aika-avaruuden repeymän, joka tainnuttaa jokaisen kuution keskustasta {s:radius} ruudun säteellä olevan yksikön {s:stun_duration} sekunniksi. Faceless Void liikkuu hyvin nopeasti kuution sisällä ja saa {s:bonus_attack_speed} hyökkäysnopeutta. Vain Faceless Void kykenee liikkumaan. Langettamisen jälkeen Faceless Void yrittää teleportata kaikki lahtariliittolaiset pois kuutiosta."
		"dac_ability_faceless_void_chronocube_lore"									"Claszureme meinaa sekaantua tähän. Se voi muodostua ongelmaksi. – <i>Jull tajuaa, ettei voi iskeä aikaa</i>"

		"dac_ability_faceless_void_time_walk"										"Time Walk"
		"dac_ability_faceless_void_time_walk_description"							"PASSIIVINEN: Faceless Void syöksyy seuraavaan kohteeseensa ja parantaa kaiken viimeisen 2 sekunnin aikana otetun vahingon."
		"dac_ability_faceless_void_time_walk_lore"									"En koskisi yhteenkään niistä kirotuista tiimalaseista. Luuletko, että haluan Pierpontin tänne nurkkiin nuuskimaan? – <i>Hobgen, järkevä maanikko</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Duel"
		"dac_ability_legion_commander_duel_description"								"Legion Commander kohdistaa hyökkäyksenä 1 ruudun päässä olevaan vähiten terveyttä omaavaan viholliseen, ja niiden pitää hyökätä toistensa kimppuun {s:stun_duration} sekunnin ajan. Kumpikaan sankareista ei voi käyttää kykyjä. Jos jompikumpi kuolee taistelun aikana, kaksinkamppailun voittava sankari saa {s:winner_bonus_damage} pysyvää lisävahinkoa. ([20/40/60] lisävahinkoa Tyrmäys-pelitilassa)"
		"dac_ability_legion_commander_duel_lore"									"Ei tarvitse seisoa asennossa, Tresdin... Voin auttaa sinua löytämään Rixin. – <i>Anessix, tyynenä paineen alla</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Will of the Bullsnake"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>LOHIKÄÄRMEIDEN LIITTOUMAN AVAAMA</i><br>PASSIIVINEN: kun Legion Commander voittaa kaksintaistelun, se parantuu välittömästi {s:heal_percentage} % enimmäisterveydestään."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Tunnen sinun tyyppisi, komentaja. Olet yksi vaarallisimmista olioista. Sellainen, joka uskoo. – <i>Wren, maailmaa opiskeleva</i>"

		"dac_ability_legion_commander_element"										"Elemental Charge"
		"dac_ability_legion_commander_element_description"							"PASSIIVINEN: kun Legion Commander käynnistää Delta Slamin osana henkien liittoumaa, se tekee tuplavahinkoa."
		"dac_ability_legion_commander_element_lore"									"Monet sotilaat ovat henkien riivaamia... tuo johtaa niitä. – <i>Jull, tunnistaa tuhannen jaardin tuijotuksen nähdessään sellaisen</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Spiked Carapace"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Nyx Assassinin piikkikuori torjuu ja heijastaa {s:damage_taken_reflect_percentage} % tehdystä vahingosta (yhden per vihollinen) ja tainnuttaa kaikkia sitä vahingoittaneita hahmoja {s:stun_duration} sekuntia."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Oikea termi on nelijalkainen. – <i>Quiet, yksityiskohdat huomioiva</i>"

		"dac_ability_nyx_assassin_vendetta"											"Vendetta"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIIVINEN: teleportattuaan hyökätäkseen yksikön kimppuun Nyx Assassin tekee {s:bonus_damage} lisävahinkoa seuraavassa hyökkäyksessään ja käyttää murtamista viholliseen {s:break_duration} sekuntia poistaen kaikki passiiviset tehosteet käytöstä."
		"dac_ability_nyx_assassin_vendetta_lore"									"Hyönteinen. Nelijalkainen. Kuka välittää. Asian ydin on, että tarvitsen sitä tappaakseni jonkun nyt... Saatko hänet kiinni vai etkö? – <i>O'nia, joka ei pidä siitä, että häntä korjataan</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Shukuchi"
		"dac_ability_weaver_shukuchi_description"									"Weaver häviää näkyvistä eikä sen kimppuun voi hyökätä. Se liikkuu nopeasti jopa {s:distance_cells} ruudun päässä olevan kohteen läpi tehden {s:damage} vahinkoa kaikkiin vihollisiin, joiden läpi se kulkee."
		"dac_ability_weaver_shukuchi_lore"											"Weaver, yhdessä teemme maailman uusiksi. –<i>Turath, tarpeeksi hullu tehdäkseen sen</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Spawn Spiderlings"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Broodmother siittää poikasensa viholliseen tehden {s:damage} vahinkoa. Jos kohde kuolee, {s:num_spiderlings} Spiderling-poikasta kuoriutuu. Spiderlingeja kohti ei voi hyökätä, ne tekevät vähän vahinkoa ja niillä on 1 terveys."
		"dac_ability_broodmother_spawn_spiderlings_lore"							""

		"dac_ability_broodmother_spin_web"											"Spin Web"
		"dac_ability_broodmother_spin_web_description"								"Broodmother kutoo {s:radius} ruudun kokoisen verkon vihollisen päälle. Verkossa olevat viholliset menettävät {s:debuff_attack_speed} hyökkäysnopeutta, {s:debuff_speed} % liikenopeutta ja {s:debuff_casting_speed} % langetusnopeutta."
		"dac_ability_broodmother_spin_web_lore"										"En vissiin voi palkata jälkeläisiäsi kieputtamaan minulle vähän silkkiä? Olen melko varma, etteivät lapsityölait koske hämähäkkejä. – <i>Carl, eettinen räätäli</i>"

		// WISP
		"dac_ability_wisp_tether"													"Tether"
		"dac_ability_wisp_tether_description"										"Io sitoutuu lähimpään liittolaissankariin ja vetää itsensä sitä kohti. Se antaa molemmille {s:bonus_attack_speed} hyökkäysnopeutta ja {s:damage_reduction} % vahinkovähennystä. Sidos katkeaa, jos Io on {s:tether_break_distance} ruutua kauempana."
		"dac_ability_wisp_tether_lore"												"<i>Enno tuijottaa Io:ta tarkkaavaisesti</i>"

		"dac_ability_wisp_relocate"													"Relocate"
		"dac_ability_wisp_relocate_description"										"Io teleporttaa pois {s:relocate_time_away} sekunniksi elvyttääkseen kuolleen sankarin. Nämä kaksi yksikköä palaavat täydellä terveydellä ja negatiivisista vaikutuksista puhdistettuna."
		"dac_ability_wisp_relocate_lore"											"<i>Io tuijottaa takaisin</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Quill Spray"
		"dac_ability_bristleback_quill_spray_description"							"Bristleback levittää piikkejä selästään ja vahingoittaa kaikkia vihollisia {s:radius} ruudun säteellä. Viholliset ottavat {s:quill_base_damage} vahinkoa sekä {s:quill_stack_damage} lisävahinkoa joka kerta, kun kasa piikkejä osuu niihin tämän erän aikana (enintään {s:max_stacks} kertaa)."
		"dac_ability_bristleback_quill_spray_lore"									"Anna kun teen tämän nyt harvinaisen selväksi. Sinä ja Tusk ette hajota baariani tänään. –<i>Jull, jäähdyttelijä</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Feast"
		"dac_ability_life_stealer_feast_description"								"PASSIIVINEN: Lifestealerin hyökkäykset vahingoittavat vihollisia ja parantavat sitä itseään {s:lifesteal_percentage} % kohteen enimmäisterveydestä."
		"dac_ability_life_stealer_feast_lore"										"En arvosta sitä, että teet olotilani perusteella oletuksia, että tietäisin heti missä Lifestealer oleilee. – <i>Carl, usein väärinymmärretty</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Shadow Wave"
		"dac_ability_dazzle_shadow_wave_description"								"Dazzle iskee voimavasaman, joka kaartuu jopa {s:max_targets} liittolaisen välille, jotka ovat {s:bounce_radius} ruudun päässä toisistaan, parantaa niitä {s:damage} ja vahingoittaa {s:damage_radius} ruudun säteellä olevia vihollisia {s:damage} pisteellä. Shadow Wave parantaa aina Dazzlea."
		"dac_ability_dazzle_shadow_wave_lore"										"Paljonko veloitat, jos käytän palveluitasi jatkossakin? Minun intresseissäni on pysyä hengissä. –<i>O'nia, varjoissa puukottellija</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Ball Lightning"
		"dac_ability_storm_spirit_ball_lightning_description"						"Storm Spirit muuntautuu epävakaaksi sähköksi ja kiitää taistelukentän läpi. Se tekee {s:damage} vahinkoa kaikille ohittamilleen yksiköille ja {s:damage_per_cell} vahinkoa läpikulkemiaan ruutuja kohti."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Tuon egoistin motivaatio tulee sydämestä, ei päästä. Se on helpoin saada nalkkiin. – <i>Turath punoo juonia</i>"

		"dac_ability_storm_spirit_element"											"Storm Elemental"
		"dac_ability_storm_spirit_element_description"								"PASSIIVINEN: kun Storm Spirit käynnistää Delta Slamin, se riisuu vaikutuksen alaiset viholliset aseista 3 sekunniksi."
		"dac_ability_storm_spirit_element_lore"										"Meidän ei tarvitse huolehtia Quietista, se ei halua olla lähelläkään myrskyä. - <i>Anessix punnitsee kaikkia vaihtoehtoja</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Sleight of Fist"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Ember Spirit syöksyy räjähtävällä nopeudella, hyökkää jokaista vihollista kohti {s:cells} ruudun säteellä ja palaa sitten lähtöpisteeseensä. Hyökkäykset tekevät {s:bonus_damage} lisävahinkoa."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Se ehkä taistelee kuin demoni, mutta se on kunniallinen olento. Sen sana riittää minulle. – <i>Jull lausuu kunniasta varkaiden keskuudessa</i>"

		"dac_ability_ember_spirit_element"											"Fire Elemental"
		"dac_ability_ember_spirit_element_description"								"PASSIIVINEN: kun Ember Spirit käynnistää Delta Slamin, se sytyttää vaikutuksen alaiset viholliset palamaan 3 sekunniksi."
		"dac_ability_ember_spirit_element_lore"										"Haluan tämän kaverin palkkalistalleni. - <i>Hobgen, kykyjen tuntija </i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Geomagnetic Grip"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Earth Spirit kutsuu Stone Remnantin kartan ulkopuolelta ja vetää sitä kohdettaan kohti. Viholliset, joihin Stone Remnant osuu, on hiljennetty {s:silence_duration} sekunniksi, ja ne ottavat {s:damage} vahinkoa."
		"dac_ability_earth_spirit_geomagnetic_grip_lore"							"Hienoa, kun Kaolin tulee kaupunkiin. Se kaivaa esiin mitä kiehtovampia asioita. – <i>Carl etsii tarvikkeita</i>"

		"dac_ability_earth_spirit_element"											"Earth Elemental"
		"dac_ability_earth_spirit_element_description"								"PASSIIVINEN: kun Earth Spirit käynnistää Delta Slamin, se hiljentää vaikutuksen alaiset viholliset 3 sekunniksi."
		"dac_ability_earth_spirit_element_lore"										"Mitäpä en antaisi nähdäkseni Wukongin taistelevan kehässä tätä tyyppiä vastaan... – <i>Grek, fantasiavälittäjä</i>"

		// VOID SPIRIT
		"dac_ability_void_spirit_dissimilate"										"Dissimilate"
		"dac_ability_void_spirit_dissimilate_description"							"Void Spirit katoaa eetteriin ja luo 3 portaalia. {s:disappear_duration} sekunnin jälkeen se poistuu yhdestä portaalista ja tekee {s:bonus_damage} vahinkoa {s:damage_distance} ruudun säteellä oleville vihollisille ja vähentää niiden panssaria {s:armor_reduction} yksiköllä {s:armor_reduction_duration} sekunniksi."
		"dac_ability_void_spirit_dissimilate_lore"									"Piileskelyä ei lopeteta ilman hyvää syytä. Selvitä, miksi se on täällä. – <i>Anessix etsii salaisuutta</i>"

		"dac_ability_void_spirit_element"											"Void Elemental"
		"dac_ability_void_spirit_element_description"								"PASSIIVINEN: kun Void Spirit käynnistää Delta Slamin, se murtaa vaikutuksen alaiset viholliset 3 sekunniksi."
		"dac_ability_void_spirit_element_lore"										"Otapa varovasti sen lähellä, Slark.  – <i>Jull jakelee ystävällisiä neuvoja</i>"

		// GRANNY LIZARD
		"dac_ability_granny_lizard_shotgun_blast"									"Ol' Scatterblast"
		"dac_ability_granny_lizard_shotgun_blast_description"						"Neljän perushyökkäyksen jälkeen Snapfire lataa haulikkonsa, laukaisee se lähellä olevaan viholliseen tehden {s:blast_damage} vahinkoa kartion muotoisesti ja hidastaa yksiköiden hyökkäystä {s:blast_bonus_attack_speed} %:lla."
		"dac_ability_granny_lizard_shotgun_blast_lore"								"Keeneillä on aina ollut kiehtovat ajatukset sodankäynnistä. Ja sodankäyntihän on minun elantoni. Ehkäpä tässä on kauppoja hierottavaksi. – <i>Quiet, enkelisijoittaja</i>"

		"dac_ability_granny_lizard_bazooka"											"Mortimer Kisses"
