"lang"
{
	"Language"		"danish"
	"Tokens"
	{
		"DAC_ItemType_Barricade_Skin"		"Skin til barrikade"
		"DAC_Item_13178_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13179"		"Glødende Sværd til gadekamp"
		"DAC_Item_13179_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13184"		"Shivas Vogter til gadekamp"
		"DAC_Item_13184_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13185"		"Shivas Vogter til gadekamp"
		"DAC_Item_13185_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13186"		"Shivas Vogter til gadekamp"
		"DAC_Item_13186_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13187"		"Shivas Vogter til gadekamp"
		"DAC_Item_13187_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13188"		"Blodtorn til gadekamp"
		"DAC_Item_13188_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13189"		"Blodtorn til gadekamp"
		"DAC_Item_13189_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13190"		"Blodtorn til gadekamp"
		"DAC_Item_13190_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13191"		"Blodtorn til gadekamp"
		"DAC_Item_13191_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13192"		"Tarrasques Hjerte til gadekamp"
		"DAC_Item_13192_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13193"		"Tarrasques Hjerte til gadekamp"
		"DAC_Item_13193_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13194"		"Tarrasques Hjerte til gadekamp"
		"DAC_Item_13194_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13195"		"Tarrasques Hjerte til gadekamp"
		"DAC_Item_13195_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13196"		"Alfahorn til gadekamp"
		"DAC_Item_13196_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13197"		"Alfahorn til gadekamp"
		"DAC_Item_13197_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13198"		"Alfahorn til gadekamp"
		"DAC_Item_13198_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13199"		"Alfahorn til gadekamp"
		"DAC_Item_13199_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13200"		"Tyranens Klædningsstykke til gadekamp"
		"DAC_Item_13200_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13201"		"Tyranens Klædningsstykke til gadekamp"
		"DAC_Item_13201_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13202"		"Tyranens Klædningsstykke til gadekamp"
		"DAC_Item_13202_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13203"		"Tyranens Klædningsstykke til gadekamp"
		"DAC_Item_13203_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_500Credits"		"500 mønter"
		"DAC_Item_500Credits_Desc"		"500 mønter"
		"DAC_Item_50Credits"		"50 mønter"
		"DAC_Item_50Credits_Desc"		"50 mønter"
		"DAC_Item_CityKey"		"Nøgle til byen"
		"DAC_Item_CityKey_desc"		"Brug denne i Byvandringen for automatisk at gennemføre et puzzle, en gadekamp eller en mission."
		"DAC_Item_DefaultUnderlordPortrait1Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait1_Mysterious"		"Klassisk 1"
		"DAC_Item_DefaultUnderlordPortrait2Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait2_Mysterious"		"Klassisk 2"
		"DAC_Item_DefaultUnderlordPortrait3Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait3_Mysterious"		"Klassisk 3"
		"DAC_Item_DefaultUnderlordPortrait4Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait4_Mysterious"		"Klassisk 4"
		"DAC_Item_DefaultUnderlordPortrait5Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait5_Mysterious"		"Klassisk 5"
		"DAC_Item_DefaultUnderlordPortrait6Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait6_Mysterious"		"Klassisk 6"
		"DAC_Item_DefaultUnderlordPortrait7Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait7_Mysterious"		"Klassisk 7"
		"DAC_Item_DefaultUnderlordPortrait8Desc_Mysterious"		"Klassisk mystisk portræt"
		"DAC_Item_DefaultUnderlordPortrait8_Mysterious"		"Klassisk 8"
		"DAC_Item_DefaultUnderlordPortraitDesc_Anessix"		"Klassisk portræt af Anessix"
		"DAC_Item_DefaultUnderlordPortraitDesc_Enno"		"Klassisk portræt af Enno"
		"DAC_Item_DefaultUnderlordPortraitDesc_Hobgen"		"Klassisk portræt af Hobgen"
		"DAC_Item_DefaultUnderlordPortraitDesc_Jull"		"Klassisk portræt af Jull"
		"DAC_Item_DefaultUnderlordPortrait_Anessix"		"Klassisk"
		"DAC_Item_DefaultUnderlordPortrait_Enno"		"Klassisk"
		"DAC_Item_DefaultUnderlordPortrait_Hobgen"		"Klassisk"
		"DAC_Item_DefaultUnderlordPortrait_Jull"		"Klassisk"
		"DAC_Item_Map0"		"Det Hvide Spirs gader"
		"DAC_Item_Map0_desc"		"Vold er ikke fremmed i Det Hvide Spirs mørke gyder.<br><br>Låst op for betaspillere, som har nået level 5 i Protopasset."
		"DAC_Item_Map1"		"Vejen til Solbrise"
		"DAC_Item_Map1_desc"		"Et smukt område til at gøre nogle grimme ting.<br><br>Låst op for betaspillere, som har nået level 5 i Protopasset."
		"DAC_Item_Placeholder_LargeXP"		"Tiende"
		"DAC_Item_Placeholder_LargeXP_desc"		"Byen respekterer dit angrebsspil og betaler dig i håbet om at vinde din gunst. Du får et stort XP-boost lagt til dit Battle Pass."
		"DAC_Item_Placeholder_MediumXP"		"Afpresning"
		"DAC_Item_Placeholder_MediumXP_desc"		"Dine rivaler har lig i lasten, og de er villige til at betale for din tavshed. Du får et moderat XP-boost lagt til dit Battle Pass."
		"DAC_Item_Placeholder_SmallXP"		"Bestikkelse"
		"DAC_Item_Placeholder_SmallXP_desc"		"Du er en indflydelsesrig person, og folk ønsker at indsmigre sig hos dig. Derfor giver de dit Battle Pass et lille XP-boost."
		"DAC_Item_S0Fireworks1"		"Romantik i luften"
		"DAC_Item_S0Fireworks1_desc"		"En fest for vold og kærlighed."
		"DAC_Item_S0Fireworks2"		"Lysshow"
		"DAC_Item_S0Fireworks2_desc"		"Hver sejr kan være en stor affære."
		"DAC_Item_S0Fireworks3"		"Bang bang bang"
		"DAC_Item_S0Fireworks3_desc"		"Du har vist dem, hvad du er værd."
		"DAC_Item_S0Flag1"		"Standardholder"
		"DAC_Item_S0Flag1_desc"		"En simpel holder til dit banner."
		"DAC_Item_S0Flag2"		"Lovende fremtid"
		"DAC_Item_S0Flag2_desc"		"Dekorer din bannerholder med mineredskaber."
		"DAC_Item_S0Flag3"		"Krigsbanner"
		"DAC_Item_S0Flag3_desc"		"En holder, som er en Underlord værdig."
		"DAC_Item_S0Flag4"		"Tænd mit lys"
		"DAC_Item_S0Flag4_desc"		"Vil du lade Mimi vente?"
		"DAC_Item_S0Flag5"		"Ildfe"
		"DAC_Item_S0Flag5_desc"		"For at minde dig om, at du skal passe på spinderokke."
		"DAC_Item_S0Flag6"		"Julls flamme"
		"DAC_Item_S0Flag6_desc"		"Gletsjerlandet brænder kraftigt."
		"DAC_Item_S0FlagImage1"		"Underlord-segl"
		"DAC_Item_S0FlagImage1_desc"		"Du er den bedste... som er her."
		"DAC_Item_S0FlagShape1"		"Smaragddaggry"
		"DAC_Item_S0FlagShape1_desc"		"Gør dine rivaler grønne af misundelse."
		"DAC_Item_S0FlagShape2"		"Vi ses i morgen"
		"DAC_Item_S0FlagShape2_desc"		"Et banner til ære for Moder Eeb."
		"DAC_Item_S0FlagShape3"		"Blodrød velkomst"
		"DAC_Item_S0FlagShape3_desc"		"Må slagmarken matche dine farver."
		"DAC_Item_S0FlagShape4"		"Hobgens opstigning"
		"DAC_Item_S0FlagShape4_desc"		"Det ser hyggeligt ud i ildens lys."
		"DAC_Item_S0FlagShape5"		"Herskerens banner"
		"DAC_Item_S0FlagShape5_desc"		"Dette sømmer sig for Det Hvide Spirs hersker."
		"DAC_Item_S0FlagShape6"		"Laset banner"
		"DAC_Item_S0FlagShape6_desc"		"Det er lidt slidt i kanterne – ligesom dig."
		"DAC_Item_S0FlagSigilAlliance1"		"Holdspiller"
		"DAC_Item_S0FlagSigilAlliance1_desc"		"Overlev med lidt hjælp fra dine venner."
		"DAC_Item_S0FlagSigilAlliance2"		"Troskabsmærke"
		"DAC_Item_S0FlagSigilAlliance2_desc"		"Holdet, som dræber sammen, bliver sammen."
		"DAC_Item_S0FlagSigilAlliance3"		"Voldens ambassadør"
		"DAC_Item_S0FlagSigilAlliance3_desc"		"Vi bygger bro mellem kulturelle forskelle, én gadekamp ad gangen."
		"DAC_Item_S0FlagSigilAnessix"		"Anessix' Segl"
		"DAC_Item_S0FlagSigilAnessix_desc"		"Kæmp under Anessix' banner"
		"DAC_Item_S0FlagSigilEcon1"		"Sparegris"
		"DAC_Item_S0FlagSigilEcon1_desc"		"Til dem, der elsker guld og konkylier."
		"DAC_Item_S0FlagSigilEcon2"		"Bankørmærke"
		"DAC_Item_S0FlagSigilEcon2_desc"		"Jeg sparede op i 5 runder, og det eneste, jeg fik, var denne elendige t-shirt."
		"DAC_Item_S0FlagSigilEcon3"		"Pengetank"
		"DAC_Item_S0FlagSigilEcon3_desc"		"Jeg håber, du har gemt din lykkemønt."
		"DAC_Item_S0FlagSigilEnno"		"Ennos Segl"
		"DAC_Item_S0FlagSigilEnno_desc"		"Kæmp under Ennos banner"
		"DAC_Item_S0FlagSigilHeroes1"		"Teambuilder"
		"DAC_Item_S0FlagSigilHeroes1_desc"		"Du har øje for talent."
		"DAC_Item_S0FlagSigilHeroes2"		"Stjernemager"
		"DAC_Item_S0FlagSigilHeroes2_desc"		"Du skaber legender."
		"DAC_Item_S0FlagSigilHeroes3"		"Stjerneparade"
		"DAC_Item_S0FlagSigilHeroes3_desc"		"Med stor magt kommer store opbakningsmuligheder."
		"DAC_Item_S0FlagSigilHobgen"		"Hobgens Segl"
		"DAC_Item_S0FlagSigilHobgen_desc"		"Kæmp under Hobgens banner"
		"DAC_Item_S0FlagSigilJull"		"Julls Segl"
		"DAC_Item_S0FlagSigilJull_desc"		"Kæmp under Julls banner"
		"DAC_Item_S0FlagSigilWin1"		"Hæderens bæger"
		"DAC_Item_S0FlagSigilWin1_desc"		"Drik op."
		"DAC_Item_S0FlagSigilWin2"		"Sejrsmærke"
		"DAC_Item_S0FlagSigilWin2_desc"		"Tid til at fejre!"
		"DAC_Item_S0FlagSigilWin3"		"Triumfens belønning"
		"DAC_Item_S0FlagSigilWin3_desc"		"Der er koldt på toppen, men udsigten er fantastisk."
		"DAC_Item_S0KillStreak1"		"Du brænder for sagen!"
		"DAC_Item_S0KillStreak1_desc"		"Når du vil sætte ekstra fut i tingene."
		"DAC_Item_S0KillStreak2"		"Bip"
		"DAC_Item_S0KillStreak2_desc"		"En påmindelse om enklere tider."
		"DAC_Item_S0KillStreak3"		"Flot glød"
		"DAC_Item_S0KillStreak3_desc"		"Hvem er den sejeste?"
		"DAC_Item_S0ProfileRing1"		"Enkel skiltning"
		"DAC_Item_S0ProfileRing1_desc"		"Enkel, men elegant."
		"DAC_Item_S0ProfileRing2"		"Geometrisk ramme"
		"DAC_Item_S0ProfileRing2_desc"		"Stadig enkel, men mere elegant."
		"DAC_Item_S0ProfileRing3"		"Hjemmelavet ramme"
		"DAC_Item_S0ProfileRing3_desc"		"Lavet med kærlighed og tvang."
		"DAC_Item_S0ProfileRing4"		"Overdådig ramme"
		"DAC_Item_S0ProfileRing4_desc"		"Pompøs og værdig til Anessix."
		"DAC_Item_S0Teleport1"		"Den grønne indgang"
		"DAC_Item_S0Teleport1_desc"		"Tænk grønt."
		"DAC_Item_S0Teleport2"		"Spritsmuglerens indgang"
		"DAC_Item_S0Teleport2_desc"		"Er tønderne fyldt med sprut? Eller mordere?!"
		"DAC_Item_S0Teleport3"		"Portalens skriftrulle"
		"DAC_Item_S0Teleport3_desc"		"En helts foretrukne rejsemiddel."
		"DAC_Item_S0Yo1"		"Hey!"
		"DAC_Item_S0Yo1_desc"		"Ziggy Zoggy Ziggy Zoggy!"
		"DAC_Item_S0Yo2"		"Hot!"
		"DAC_Item_S0Yo2_desc"		"Uh, det er hot..."
		"DAC_Item_S0Yo3"		"Yo!"
		"DAC_Item_S0Yo3_desc"		"Til dem, der ikke bryder sig om chili."
		"DAC_Item_S0Yo4"		"Av!"
		"DAC_Item_S0Yo4_desc"		"Sandheden gør ondt."
		"DAC_Item_S1AnessixItemRewardBox"		"Værktøjskasse – Anessix"
		"DAC_Item_S1AnessixItemRewardBox_desc"		"Optjen en tilfældig genstand, som du kan udstyre på en af Anessix' enheder under gadekampe i Lille Revtel."
		"DAC_Item_S1BarricadeSkin00"		"Barrikade"
		"DAC_Item_S1BarricadeSkin00_desc"		"Bedre end dårlig, den er god!"
		"DAC_Item_S1BarricadeSkin01"		"Høballe"
		"DAC_Item_S1BarricadeSkin01_desc"		"Du ønsker ikke at vide, hvad der gemmer sig derinde."
		"DAC_Item_S1BarricadeSkin02"		"Frugtvogn"
		"DAC_Item_S1BarricadeSkin02_desc"		"FRUGT PÅ HJUL!"
		"DAC_Item_S1BarricadeSkin03"		"Ren Sne"
		"DAC_Item_S1BarricadeSkin03_desc"		"Ved du, hvad sådan en mur går for på gaden?"
		"DAC_Item_S1BarricadeSkin04"		"Istapper"
		"DAC_Item_S1BarricadeSkin04_desc"		"Pas på, at du ikke stikker øjet ud på nogen."
		"DAC_Item_S1BarricadeSkin05"		"Drømmenes mur"
		"DAC_Item_S1BarricadeSkin05_desc"		"Er dette Stygspjæld? Nej, det er Det Hvide Spir."
		"DAC_Item_S1BoardBuddy01"		"Nancy"
		"DAC_Item_S1BoardBuddy01_desc"		"Nancy lærte først om sin glutenallergi, da det var for sent."
		"DAC_Item_S1BoardPropRewardBox"		"Zenoks Lykkekiste"
		"DAC_Item_S1BoardPropRewardBox_desc"		"Optjen en tilfældig brætrekvisit, som du kan bruge til at forme Det Hvide Spir efter din smag."
		"DAC_Item_S1BoardSpray00"		"Kridtomrids"
		"DAC_Item_S1BoardSpray00_desc"		"Der var en, som havde en hård dag i Det Hvide Spir"
		"DAC_Item_S1BoardSpray01"		"Underlords-spray"
		"DAC_Item_S1BoardSpray01_desc"		"Sæt dit præg"
		"DAC_Item_S1BoardSpray02"		"Trist Ricky"
		"DAC_Item_S1BoardSpray02_desc"		"Op med næbbet, Ricky! Du skal nok snart få nappet nogen!"
		"DAC_Item_S1BoardSpray03"		"Afslappet Ricky"
		"DAC_Item_S1BoardSpray03_desc"		"Det er en god dag at være skurk"
		"DAC_Item_S1BoardSpray04"		"Aner det ikke"
		"DAC_Item_S1BoardSpray04_desc"		"Hvem ved, hvad der vil ske"
		"DAC_Item_S1BoardSpray05"		"Kys kokken"
		"DAC_Item_S1BoardSpray05_desc"		"Vis respekt for slagteren og bladet"
		"DAC_Item_S1EnnoItemRewardBox"		"Værktøjskasse – Enno"
		"DAC_Item_S1EnnoItemRewardBox_desc"		"Optjen en tilfældig genstand, som du kan udstyre på en af Ennos enheder under gadekampe i Gyderne."
		"DAC_Item_S1Fireworks01"		"Ricky-balloner"
		"DAC_Item_S1Fireworks01_desc"		"Balloner, som er vores nuttede lille bandit værdig."
		"DAC_Item_S1Fireworks02"		"Ekstranummer!"
		"DAC_Item_S1Fireworks02_desc"		"Tak, tak, tak."
		"DAC_Item_S1Fireworks03"		"Snefnug"
		"DAC_Item_S1Fireworks03_desc"		"Elsket af børn, frygtet af voksne."
		"DAC_Item_S1Fireworks04"		"Underlordens dusør"
		"DAC_Item_S1Fireworks04_desc"		"Kriminalitet betaler sig."
		"DAC_Item_S1Fireworks05"		"Hokus pokus"
		"DAC_Item_S1Fireworks05_desc"		"Til mit næste trick vil jeg myrde mine rivaler."
		"DAC_Item_S1HobgenItemRewardBox"		"Værktøjskasse – Hobgen"
		"DAC_Item_S1HobgenItemRewardBox_desc"		"Optjen en tilfældig genstand, som du kan udstyre på en af Hobgens enheder under gadekampe i Mørkereden."
		"DAC_Item_S1JullItemRewardBox"		"Værktøjskasse – Jull"
		"DAC_Item_S1JullItemRewardBox_desc"		"Optjen en tilfældig genstand, som du kan udstyre på en af Julls enheder under gadekampe i Skyggehavn."
		"DAC_Item_S1KillStreak01"		"Ravnekrogsfjer"
		"DAC_Item_S1KillStreak01_desc"		"Hvis der kun er disse tilbage, er der nogen, der ligger og bløder."
		"DAC_Item_S1KillStreak02"		"Den endelige rose"
		"DAC_Item_S1KillStreak02_desc"		"En date i Det Hvide Spir glemmer man ikke."
		"DAC_Item_S1KillStreak03"		"Kærlig hilsen Gletsjerlandet"
		"DAC_Item_S1KillStreak03_desc"		"Brr! Det er koldt! Der må være bandekrig i luften!"
		"DAC_Item_S1KillStreak04"		"Revtels diamanter"
		"DAC_Item_S1KillStreak04_desc"		"Pengene flyder frit i handelsriget Revtel."
		"DAC_Item_S1KillStreak05"		"Lilla gys"
		"DAC_Item_S1KillStreak05_desc"		"Forhåbentlig får din historie en lykkeligere slutning."
		"DAC_Item_S1Map01"		"Torv: Solskin"
		"DAC_Item_S1Map01_desc"		"Det Hvide Spir i det mest turistvenlige lys."
		"DAC_Item_S1Map02"		"Torv: Regnvejr"
		"DAC_Item_S1Map02_desc"		"Husk kniv og paraply"
		"DAC_Item_S1Map03"		"Torv: Nat"
		"DAC_Item_S1Map03_desc"		"Det Hvide Spir er ikke det sikreste sted til en aftentur"
		"DAC_Item_S1Map04"		"Eebs gård: Solskin"
		"DAC_Item_S1Map04_desc"		"Nogle gange havde Moder Eeb brug for en pause fra byen"
		"DAC_Item_S1Map05"		"Eebs gård: Regnvejr"
		"DAC_Item_S1Map05_desc"		"Det var aldrig hendes mening at såre nogen. Det var aldrig hendes mening at gøre nogen ondt."
		"DAC_Item_S1Map06"		"Eebs gård: Nat"
		"DAC_Item_S1Map06_desc"		"Uden ligene ville det være yderst romantisk"
		"DAC_Item_S1MapProp01"		"Nancy"
		"DAC_Item_S1MapProp01_desc"		"Rylai var glad for at kæle med Nancy... Hun anede ikke, at Nancy var i gang med at planlægge hendes død."
		"DAC_Item_S1MapProp02"		"Percy"
		"DAC_Item_S1MapProp02_desc"		"Han spiller sikkert død."
		"DAC_Item_S1MapProp03"		"Jiro"
		"DAC_Item_S1MapProp03_desc"		"Nogle tror, at traner er ærefulde dyr, men skorpionen kender sandheden.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp04"		"Maximus"
		"DAC_Item_S1MapProp04_desc"		"Moder Eeb var ligesom de fleste kvalitetsbevidste mennesker vild med aber og lemurer.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp05"		"Hundehus"
		"DAC_Item_S1MapProp05_desc"		"Et hus til en hund. Eller en meget lille elefant.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp06"		"Rickys cykel"
		"DAC_Item_S1MapProp06_desc"		"Når du skal væk i en langsom fart.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp07"		"Cafébord"
		"DAC_Item_S1MapProp07_desc"		"Anessix anbefaler altid, at forhandlinger om sjæle foregår over en bid mad.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp08"		"Kanon"
		"DAC_Item_S1MapProp08_desc"		"Nogle siger, at kanoner er mest effektive på en mur eller på et skib. De har ingen fantasi.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp09"		"Lille træ"
		"DAC_Item_S1MapProp09_desc"		"Nyd det, før det bukker under for fremskridtet.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp10"		"Kaktusplante"
		"DAC_Item_S1MapProp10_desc"		"VAR DET NOGET MED EN SUKKULENT?"
		"DAC_Item_S1MapProp11"		"Truffulatræ"
		"DAC_Item_S1MapProp11_desc"		"Bruges til at lave ting, som alle har brug for.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp12"		"Eg fra Gletsjerlandet"
		"DAC_Item_S1MapProp12_desc"		"Det, der trives i nord, er lige så smukt, som det er robust.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp13"		"Forår i luften"
		"DAC_Item_S1MapProp13_desc"		"Lige uden for byrens mure venter der dig en hel verden, hvor du ikke bliver stukket ned.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp14"		"Træningsmål"
		"DAC_Item_S1MapProp14_desc"		"Ham her har drømme, og en dag bliver han nogens træningsmakker.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp15"		"Springvand"
		"DAC_Item_S1MapProp15_desc"		"Lige det, du tørster efter.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp16"		"Ostehjul"
		"DAC_Item_S1MapProp16_desc"		"Den er ikke fra Roshan, men denne ost er alligevel bare mums."
		"DAC_Item_S1MapProp17"		"Tromme"
		"DAC_Item_S1MapProp17_desc"		"Lad trommerne gå, en fyrste som få kan opleves her til lands."
		"DAC_Item_S1MapProp18"		"Gongong"
		"DAC_Item_S1MapProp18_desc"		"Kun et monster ville ikke sætte pris på en god gongong.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp19"		"Musiknoder"
		"DAC_Item_S1MapProp19_desc"		"Den \"mystiske hvide boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder. Inkluderer en oktav af nodeblokke."
		"DAC_Item_S1MapProp20"		"Fyrværkeriholder"
		"DAC_Item_S1MapProp20_desc"		"Det er lyden af frihed.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp21"		"Ulven"
		"DAC_Item_S1MapProp21_desc"		"Ham her kommer til Det Hvide Spir for at feste."
		"DAC_Item_S1MapProp22"		"Lance"
		"DAC_Item_S1MapProp22_desc"		"J'Muys fætter Lance er et fjols.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp23"		"Prellex' brik"
		"DAC_Item_S1MapProp23_desc"		"Selv Radiants bedste agenter er stadig brikker."
		"DAC_Item_S1MapProp24"		"Kannas legetøj"
		"DAC_Item_S1MapProp24_desc"		"Kultleder, det ligger til familien."
		"DAC_Item_S1MapProp25"		"Alice"
		"DAC_Item_S1MapProp25_desc"		"Debbies gamle roomie lever det bedste liv."
		"DAC_Item_S1MapProp26"		"Vincent"
		"DAC_Item_S1MapProp26_desc"		"Carl siger, han er god nok, så folk i Det Hvide Spir tilgiver ham.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp27"		"Tomat"
		"DAC_Item_S1MapProp27_desc"		"De er enten søskende, eller også er de gift. Det er svært at sige.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp28"		"Kartoffel"
		"DAC_Item_S1MapProp28_desc"		"Stol aldrig på en helvedesbjørn med et sødt navn.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp29"		"Minerva"
		"DAC_Item_S1MapProp29_desc"		"Dette monster, som er skabt i Hængerosen, tjener ingen herre.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp30"		"Atticus"
		"DAC_Item_S1MapProp30_desc"		"Lad dig ikke narre af udseendet. Atticus er en ægte cocktailsnob.<br><br>Låses op fra Zenoks Lykkekiste"
		"DAC_Item_S1MapProp31"		"Bøddelen"
		"DAC_Item_S1MapProp31_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp32"		"Krystalven"
		"DAC_Item_S1MapProp32_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp33"		"Kolossens ven"
		"DAC_Item_S1MapProp33_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp34"		"Snemand"
		"DAC_Item_S1MapProp34_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp35"		"Fugleskræmsel"
		"DAC_Item_S1MapProp35_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp36"		"Anessix"
		"DAC_Item_S1MapProp36_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp37"		"Hobgen"
		"DAC_Item_S1MapProp37_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp38"		"Jull"
		"DAC_Item_S1MapProp38_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp39"		"Enno"
		"DAC_Item_S1MapProp39_desc"		"En falsk fan, der hepper på dig fra sidelinjen."
		"DAC_Item_S1MapProp40"		"Frugtvogn"
		"DAC_Item_S1MapProp40_desc"		"Et æble om dagen..."
		"DAC_Item_S1MapProp41"		"Høballer"
		"DAC_Item_S1MapProp41_desc"		"Kan indeholde spor af nåle."
		"DAC_Item_S1MapProp42"		"Istapper"
		"DAC_Item_S1MapProp42_desc"		"Skarpt vand."
		"DAC_Item_S1MapProp43"		"Majs"
		"DAC_Item_S1MapProp43_desc"		"Virker ikke særlig solid"
		"DAC_Item_S1MapProp44"		"Snefort"
		"DAC_Item_S1MapProp44_desc"		"Klar til en sneboldkamp."
		"DAC_Item_S1MapProp45"		"Kasse"
		"DAC_Item_S1MapProp45_desc"		"En på kassen."
		"DAC_Item_S1MapProp46"		"Fyrretræ"
		"DAC_Item_S1MapProp46_desc"		"Et simpelt fyrretræ, der desperat ønsker at være et juletræ."
		"DAC_Item_S1MapProp47"		"Badebold"
		"DAC_Item_S1MapProp47_desc"		"Det er bedre end ingenting"
		"DAC_Item_S1MapProp48"		"Musiknode – D"
		"DAC_Item_S1MapProp48_desc"		"Den \"mystiske røde boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp49"		"Musiknode – E"
		"DAC_Item_S1MapProp49_desc"		"Den \"mystiske orange boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp50"		"Musiknode – F"
		"DAC_Item_S1MapProp50_desc"		"Den \"mystiske gule boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp51"		"Musiknode – G"
		"DAC_Item_S1MapProp51_desc"		"Den \"mystiske grønne boks med en ottendedelsnode\", som ikke er nær så populær som en fløjte eller mandolin, dukker op de mærkeligste steder."
		"DAC_Item_S1MapProp52"		"Musiknode – A"
